table_type,repair_mode,num_rounds,bucket_num,build_r_ms,build_s_ms,avg_delta_r_update_ms,avg_delta_r_probe_ms,avg_delta_s_insert_ms,avg_delta_s_probe_ms,avg_total_round_ms,total_ms
Snap,Nr,5,4096,28.080,12.363,32.770,0.255,14.860,2.003,49.888,311.229
Ivmh,Nr,5,4096,68.450,20.912,37.586,0.289,17.465,1.943,57.282,375.775
Heap,Wr,5,4096,51.742,18.530,0.195,0.117,0.802,1.242,2.356,82.052
Chain,Wr,5,4096,54.287,20.660,0.754,0.193,1.009,1.636,3.593,92.912
Par,Wr,5,4096,52.597,19.139,0.593,0.275,2.067,1.473,4.407,94.238
