table_type,repair_type,duration_ms,total_ms,history_ratio
chain,No Repair,472.677212,4.72677212,0.0
chain,Read Repair,489.822711,4.8982271100000006,0.0
chain,Write Repair,467.451123,4.67451123,0.0
heap,No Repair,693.95429,6.9395429,0.0
heap,Read Repair,677.940753,6.779407529999999,0.0
heap,Write Repair,499.428998,4.99428998,0.0
ivmh,,486.538077,4.86538077,0.0
naive,,3096.561087,30.96561087,0.0
par,No Repair,668.085,6.68085,0.0
par,Read Repair,614.583089,6.14583089,0.0
par,Write Repair,506.161997,5.06161997,0.0
chain,No Repair,454.693329,4.54693329,0.01
chain,Read Repair,463.490001,4.63490001,0.01
chain,Write Repair,461.075377,4.61075377,0.01
heap,No Repair,657.961626,6.57961626,0.01
heap,Read Repair,634.224171,6.34224171,0.01
heap,Write Repair,490.020216,4.90020216,0.01
ivmh,,461.294041,4.61294041,0.01
naive,,2926.85537,29.268553700000002,0.01
par,No Repair,656.102551,6.5610255099999994,0.01
par,Read Repair,594.594174,5.945941739999999,0.01
par,Write Repair,554.638749,5.54638749,0.01
chain,No Repair,449.947123,4.49947123,0.02
chain,Read Repair,465.630707,4.6563070699999995,0.02
chain,Write Repair,460.869832,4.608698319999999,0.02
heap,No Repair,894.604876,8.94604876,0.02
heap,Read Repair,599.804794,5.99804794,0.02
heap,Write Repair,492.420663,4.92420663,0.02
ivmh,,489.780505,4.89780505,0.02
naive,,3298.693834,32.98693834,0.02
par,No Repair,639.464669,6.394646689999999,0.02
par,Read Repair,609.921379,6.09921379,0.02
par,Write Repair,466.479834,4.66479834,0.02
