table_type,repair_type,duration_ms,total_ms,history_ratio
chain,No Repair,11855.784293,118.55784293,0.0
chain,Read Repair,11519.148711,115.19148711,0.0
chain,Write Repair,12173.339834,121.73339834000001,0.0
heap,No Repair,15612.058378,156.12058378,0.0
heap,Read Repair,14240.136377,142.40136377000002,0.0
heap,Write Repair,12378.464042,123.78464042,0.0
ivmh,,11091.23171,110.9123171,0.0
naive,,28234.06071,282.3406071,0.0
par,No Repair,15439.924669,154.39924669,0.0
par,Read Repair,14163.554625,141.63554625,0.0
par,Write Repair,12441.178626,124.41178626000001,0.0
chain,No Repair,12754.424121,127.54424121,0.01
chain,Read Repair,13047.644411,130.47644411,0.01
chain,Write Repair,12191.161914,121.91161914,0.01
heap,No Repair,15784.432663,157.84432662999998,0.01
heap,Read Repair,12572.804458,125.72804458,0.01
heap,Write Repair,11854.368791,118.54368791,0.01
ivmh,,10469.128781,104.69128780999999,0.01
naive,,31990.324292,319.90324292,0.01
par,No Repair,16294.84379,162.94843790000002,0.01
par,Read Repair,14873.844254,148.73844254,0.01
par,Write Repair,11527.556841,115.27556840999999,0.01
chain,No Repair,14267.793789,142.67793788999998,0.02
chain,Read Repair,17264.208334,172.64208334,0.02
chain,Write Repair,12347.845708,123.47845708000001,0.02
heap,No Repair,15959.768594,159.59768594,0.02
heap,Read Repair,14142.524782,141.42524782,0.02
heap,Write Repair,12165.812077,121.65812077000001,0.02
ivmh,,11119.499002,111.19499002,0.02
naive,,27153.31371,271.5331371,0.02
par,No Repair,15438.291751,154.38291751,0.02
par,Read Repair,13589.930210999999,135.89930210999998,0.02
par,Write Repair,11351.800168,113.51800168,0.02
