table_type,repair_type,duration_ms,total_ms,delta_ratio
chain,No Repair,470.866008,4.7086600800000005,0.0
chain,Read Repair,465.74642,4.6574642,0.0
chain,Write Repair,430.690461,4.30690461,0.0
heap,No Repair,781.062541,7.81062541,0.0
heap,Read Repair,637.77795,6.3777795,0.0
heap,Write Repair,507.019456,5.07019456,0.0
ivmh,,433.795914,4.33795914,0.0
naive,,2858.716047,28.58716047,0.0
par,No Repair,668.106461,6.68106461,0.0
par,Read Repair,603.903833,6.0390383299999995,0.0
par,Write Repair,477.754167,4.77754167,0.0
chain,No Repair,417.008082,4.17008082,0.01
chain,Read Repair,415.970831,4.15970831,0.01
chain,Write Repair,408.891875,4.08891875,0.01
heap,No Repair,679.946828,6.79946828,0.01
heap,Read Repair,563.050998,5.63050998,0.01
heap,Write Repair,458.325081,4.58325081,0.01
ivmh,,520.932289,5.209322889999999,0.01
naive,,3092.685134,30.92685134,0.01
par,No Repair,605.694911,6.056949110000001,0.01
par,Read Repair,547.112207,5.47112207,0.01
par,Write Repair,432.261331,4.3226133099999995,0.01
chain,No Repair,415.115326,4.15115326,0.02
chain,Read Repair,422.723003,4.22723003,0.02
chain,Write Repair,424.422001,4.24422001,0.02
heap,No Repair,626.487756,6.2648775599999995,0.02
heap,Read Repair,571.8301270000001,5.71830127,0.02
heap,Write Repair,488.195912,4.88195912,0.02
ivmh,,531.156926,5.31156926,0.02
naive,,2858.448166,28.58448166,0.02
par,No Repair,585.026666,5.85026666,0.02
par,Read Repair,537.422956,5.37422956,0.02
par,Write Repair,416.138713,4.16138713,0.02
