table_type,repair_mode,update_pct,distribution,stock_rows,orderline_rows,update_ops,j1_alloc_ms,j1_insert_ms,join1_build_ms,join1_probe_ms,update_ms,join2_build_ms,join2_probe_ms,total_ms,join1_matched,join2_matched,join1_total_qty,join2_total_qty
Naive,Nr,0.000000,zipf0.99,200000,599896,0,0.000715,53.417507,53.418223,207.713438,0.000056,36.138292,212.946222,510.216230,599896,599896,164974515,164974515
Heap,Nr,0.000000,zipf0.99,200000,599896,0,4.372625,66.174389,70.547014,324.468792,0.000090,0.000000,335.145042,730.160938,1199792,1199792,329861365,329861365
Heap,Rr,0.000000,zipf0.99,200000,599896,0,3.793042,58.150722,61.943764,308.814250,0.000111,0.000000,301.737562,672.495687,1199792,1199792,329861365,329861365
Heap,Wr,0.000000,zipf0.99,200000,599896,0,3.906986,60.283875,64.190861,309.419493,0.954556,0.000000,311.314951,685.879862,1199792,1199792,329861365,329861365
Chain,Wr,0.000000,zipf0.99,200000,599896,0,4.200430,55.906993,60.107424,318.801201,1.067570,0.000000,315.434396,695.410590,1199792,1199792,329861365,329861365
Par,Nr,0.000000,zipf0.99,200000,599896,0,3.995125,60.759507,64.754632,309.287083,0.000049,0.000000,312.869000,686.910764,1199792,1199792,329861365,329861365
Par,Rr,0.000000,zipf0.99,200000,599896,0,3.694146,59.637653,63.331798,302.388208,0.000069,0.000000,302.596500,668.316576,1199792,1199792,329861365,329861365
Par,Wr,0.000000,zipf0.99,200000,599896,0,4.233930,57.363889,61.597819,297.054472,0.945701,0.000000,301.919597,661.517590,1199792,1199792,329861365,329861365
Naive,Nr,5.000000,zipf0.99,200000,599896,10000,0.000479,44.894264,44.894743,176.309125,0.000021,27.675181,180.600070,429.479139,599896,599896,164974515,165210990
Heap,Nr,5.000000,zipf0.99,200000,599896,10000,3.859465,55.493833,59.353298,291.524861,2.402312,0.000000,357.556910,710.837381,1199792,599896,329861365,165210990
Heap,Rr,5.000000,zipf0.99,200000,599896,10000,3.835410,57.027431,60.862840,296.516055,2.374785,0.000000,347.309951,707.063632,1199792,599896,329861365,165210990
Heap,Wr,5.000000,zipf0.99,200000,599896,10000,4.000819,60.387896,64.388715,308.748146,6.556021,0.000000,386.408805,766.101688,1199792,1171413,329861365,322381975
Chain,Wr,5.000000,zipf0.99,200000,599896,10000,4.789444,59.993695,64.783139,357.927257,14.495104,0.000000,447.420431,884.625931,1199792,1199792,329861365,330293955
Par,Nr,5.000000,zipf0.99,200000,599896,10000,4.569201,87.025750,91.594951,359.967424,9.850465,0.000000,558.762431,1020.175271,1199792,599896,329861365,164974515
Par,Rr,5.000000,zipf0.99,200000,599896,10000,5.064403,74.219965,79.284368,363.746937,11.810104,0.000000,567.756875,1022.598285,1199792,599896,329861365,165210990
Par,Wr,5.000000,zipf0.99,200000,599896,10000,4.682222,81.072722,85.754944,323.864063,14.536070,0.000000,419.854021,844.009098,1199792,1171413,329861365,322381975
Naive,Nr,10.000000,zipf0.99,200000,599896,20000,0.000410,49.074527,49.074937,190.024993,0.000028,27.936166,197.750181,464.786305,599896,599896,164974515,165006430
Heap,Nr,10.000000,zipf0.99,200000,599896,20000,4.615118,69.449778,74.064896,342.222250,5.801764,0.000000,427.655500,849.744410,1199792,599896,329861365,165006430
Heap,Rr,10.000000,zipf0.99,200000,599896,20000,4.248021,66.201535,70.449556,392.424715,6.042771,0.000000,410.229521,879.146563,1199792,599896,329861365,165006430
Heap,Wr,10.000000,zipf0.99,200000,599896,20000,4.051799,60.936195,64.987994,326.512250,10.616139,0.000000,333.996167,736.112549,1199792,1149364,329861365,316100090
Chain,Wr,10.000000,zipf0.99,200000,599896,20000,4.044729,53.337896,57.382625,320.336708,16.544236,0.000000,388.478653,782.742222,1199792,1199792,329861365,329928980
Par,Nr,10.000000,zipf0.99,200000,599896,20000,4.031681,60.304931,64.336611,307.182431,14.111569,0.000000,500.098688,885.729299,1199792,599896,329861365,164974515
Par,Rr,10.000000,zipf0.99,200000,599896,20000,4.073194,59.791514,63.864708,302.243257,12.733444,0.000000,522.443305,901.284715,1199792,599896,329861365,165006430
Par,Wr,10.000000,zipf0.99,200000,599896,20000,4.460250,62.955444,67.415694,348.259208,24.765820,0.000000,465.229132,905.669854,1199792,1149364,329861365,316100090
Naive,Nr,15.000000,zipf0.99,200000,599896,30000,0.000889,54.646590,54.647479,219.876132,0.000014,36.465896,220.403590,531.393111,599896,599896,164974515,164984220
Heap,Nr,15.000000,zipf0.99,200000,599896,30000,4.895118,66.516764,71.411882,375.168097,8.171069,0.000000,474.173611,928.924659,1199792,599896,329861365,164984220
Heap,Rr,15.000000,zipf0.99,200000,599896,30000,3.884173,58.000410,61.884583,307.918903,7.071229,0.000000,381.122403,757.997118,1199792,599896,329861365,164984220
Heap,Wr,15.000000,zipf0.99,200000,599896,30000,3.928368,57.794000,61.722368,299.463326,14.153972,0.000000,312.687597,688.027264,1199792,1130798,329861365,310966990
Chain,Wr,15.000000,zipf0.99,200000,599896,30000,4.262000,57.883278,62.145278,337.133521,24.500139,0.000000,506.541542,930.320479,1199792,1199792,329861365,329871675
Par,Nr,15.000000,zipf0.99,200000,599896,30000,4.190882,66.380334,70.571216,348.157382,17.298354,0.000000,622.748709,1058.775660,1199792,599896,329861365,164974515
Par,Rr,15.000000,zipf0.99,200000,599896,30000,3.857986,56.840049,60.698035,293.767854,16.582208,0.000000,516.792882,887.840979,1199792,599896,329861365,164984220
Par,Wr,15.000000,zipf0.99,200000,599896,30000,4.551104,59.804056,64.355160,306.384195,24.571639,0.000000,444.444500,839.755494,1199792,1130798,329861365,310966990
Naive,Nr,20.000000,zipf0.99,200000,599896,40000,0.000930,54.024521,54.025451,213.665479,0.000028,49.379431,222.153826,539.224214,599896,599896,164974515,165046010
