table_type,repair_mode,update_pct,distribution,stock_rows,orderline_rows,update_ops,j1_alloc_ms,j1_insert_ms,join1_build_ms,join1_probe_ms,update_ms,join2_build_ms,join2_probe_ms,total_ms,join1_matched,join2_matched,join1_total_qty,join2_total_qty
Naive,Nr,10.000000,zipf0.99,1000000,2997904,100000,0.000854,102.390125,102.390979,888.697069,0.000014,26.987729,877.040687,1895.116479,2997904,2997904,825715065,825936580
Heap,Nr,10.000000,zipf0.99,1000000,2997904,100000,3.750792,257.365361,261.116153,5759.831222,25.466632,0.000000,6193.731271,12240.145278,2997904,2998015,825715065,825974105
Heap,Rr,10.000000,zipf0.99,1000000,2997904,100000,3.860521,257.297855,261.158376,5738.944396,24.944590,0.000000,3120.528500,9145.575862,2997904,2997904,825715065,825936580
Heap,Wr,10.000000,zipf0.99,1000000,2997904,100000,3.881625,254.504903,258.386528,5686.892840,57.251320,0.000000,6156.946327,12159.477015,2997904,2998015,825715065,825974105
