table_type,repair_mode,reader_threads,read_tx_size,update_pct,bucket_num,update_ops,history_total_ms,history_avg_read_latency_ms,history_p95_read_latency_ms,history_avg_read_wait_ms,history_p95_read_wait_ms,history_avg_read_exec_ms,history_avg_update_latency_ms,fresh_total_ms,fresh_avg_read_latency_ms,fresh_p95_read_latency_ms,fresh_avg_read_wait_ms,fresh_p95_read_wait_ms,fresh_avg_read_exec_ms,fresh_avg_update_latency_ms,mixed_total_ms
Par,Wr,4,2048,0.080000,4096,160,4.872662,4.045976,4.362706,0.000327,0.000436,4.045649,4.626374,5.843857,5.610863,5.642036,2.633229,2.639221,2.977635,2.641049,9.506933
Snap,Nr,4,2048,0.090000,4096,180,351.285017,350.854721,351.115842,347.282552,347.390526,3.572169,319.989473,254.091131,253.844322,253.858271,250.791407,250.795756,3.052915,250.798721,355.273434
Ivmh,Nr,4,2048,0.090000,4096,180,308.157095,307.661994,307.919530,304.127159,304.230066,3.534835,0.254898,3.632453,3.109768,3.410380,0.244394,0.251675,2.865374,0.255241,307.054131
Heap,Wr,4,2048,0.090000,4096,180,3.161851,2.877300,2.957327,0.000163,0.000230,2.877137,0.471133,3.926000,3.275233,3.694425,0.336523,0.343313,2.938710,0.338961,6.836977
Chain,Wr,4,2048,0.090000,4096,180,4.315552,3.967684,4.085785,0.000295,0.000377,3.967390,1.865129,4.198570,3.961363,3.983944,1.173480,1.177575,2.787884,1.180164,7.823057
Par,Wr,4,2048,0.090000,4096,180,4.666740,4.104717,4.285726,0.000351,0.000426,4.104366,4.472787,5.765202,5.307436,5.556211,2.196463,2.200348,3.110974,2.196721,9.401572
Snap,Nr,4,2048,0.100000,4096,200,346.792418,335.591932,335.834867,331.982627,332.103372,3.609305,333.270733,250.296275,250.042745,250.065960,246.998881,247.004436,3.043864,247.004912,360.687904
Ivmh,Nr,4,2048,0.100000,4096,200,308.886600,308.471061,308.683756,304.907887,305.013962,3.563175,0.268716,3.538657,3.010046,3.355863,0.232569,0.237360,2.777477,0.237514,302.213474
Heap,Wr,4,2048,0.100000,4096,200,3.373068,2.850776,3.112473,0.000156,0.000227,2.850620,0.580974,3.187254,2.947788,2.966056,0.254736,0.258398,2.693052,0.256107,6.351415
Chain,Wr,4,2048,0.100000,4096,200,5.465204,4.946699,5.242134,0.000248,0.000339,4.946451,2.821424,4.069258,3.794690,3.817217,0.991011,0.996479,2.803679,0.998468,7.314612
Par,Wr,4,2048,0.100000,4096,200,4.478361,3.962148,4.137813,0.000262,0.000348,3.961886,4.298137,5.405287,5.045168,5.179695,2.064491,2.067692,2.980678,2.064727,9.285574
