table_type,repair_mode,reader_threads,read_tx_size,update_pct,bucket_num,update_ops,history_total_ms,history_avg_read_latency_ms,history_p95_read_latency_ms,history_avg_read_wait_ms,history_p95_read_wait_ms,history_avg_read_exec_ms,history_avg_update_latency_ms,fresh_total_ms,fresh_avg_read_latency_ms,fresh_p95_read_latency_ms,fresh_avg_read_wait_ms,fresh_p95_read_wait_ms,fresh_avg_read_exec_ms,fresh_avg_update_latency_ms,mixed_total_ms
Snap,Nr,4,2048,0.010000,4096,20,406.958221,389.321348,389.580893,385.630990,385.747373,3.690358,401.582038,331.923350,331.624736,331.658428,328.540951,328.547926,3.083785,328.544447,421.864946
Ivmh,Nr,4,2048,0.010000,4096,20,293.086578,292.502406,292.802900,288.854501,288.974532,3.647905,0.049700,4.011225,3.493562,3.766757,0.033915,0.037287,3.459647,0.044565,299.043154
Heap,Wr,4,2048,0.010000,4096,20,4.003518,3.364770,3.733243,0.000233,0.000342,3.364537,0.071701,3.571255,3.081608,3.299845,0.062972,0.068610,3.018636,0.072200,6.504322
Chain,Wr,4,2048,0.010000,4096,20,4.059070,3.565004,3.790042,0.000283,0.000357,3.564721,0.273670,3.706238,3.317785,3.459127,0.206763,0.213009,3.111023,0.213895,6.776244
Par,Wr,4,2048,0.010000,4096,20,4.905546,3.673418,4.524860,0.000287,0.000407,3.673131,4.711701,4.233519,3.649416,4.038377,0.496986,0.504840,3.152429,0.493425,9.426006
