table_type,repair_mode,reader_threads,read_tx_size,update_pct,bucket_num,update_ops,history_total_ms,history_avg_read_latency_ms,history_p95_read_latency_ms,history_avg_read_wait_ms,history_p95_read_wait_ms,history_avg_read_exec_ms,history_avg_update_latency_ms,fresh_total_ms,fresh_avg_read_latency_ms,fresh_p95_read_latency_ms,fresh_avg_read_wait_ms,fresh_p95_read_wait_ms,fresh_avg_read_exec_ms,fresh_avg_update_latency_ms,mixed_total_ms
Snap,Nr,4,2048,0.010000,4096,20,381.665875,374.108144,374.366680,370.456541,370.569364,3.651602,381.420332,304.603764,304.350837,304.383507,301.287417,301.292948,3.063420,301.295109,364.243121
Ivmh,Nr,4,2048,0.010000,4096,20,263.182206,262.712617,262.973706,259.123116,259.245835,3.589501,0.035321,4.082657,3.482823,3.832793,0.023989,0.028710,3.458834,0.034658,313.109485
Heap,Wr,4,2048,0.010000,4096,20,3.826820,3.320545,3.630408,0.000213,0.000268,3.320332,0.062473,3.859115,3.457124,3.613757,0.035283,0.041228,3.421842,0.043127,6.580575
Chain,Wr,4,2048,0.010000,4096,20,3.697476,3.257720,3.497573,0.000241,0.000284,3.257479,0.195743,4.000449,3.359338,3.780380,0.144907,0.151232,3.214431,0.153815,6.975222
Par,Wr,4,2048,0.010000,4096,20,4.079706,3.465678,3.618855,0.000333,0.000396,3.465345,3.859234,4.335973,3.855436,4.099677,0.439462,0.445099,3.415974,0.448779,8.953304
