table_type,repair_mode,worker_threads,join_txs,scan_txs,delta_txs,update_waves,readable_every,historical_ratio,update_pct,bucket_num,update_ops,total_ms,avg_join_latency_ms,p95_join_latency_ms,avg_scan_latency_ms,p95_scan_latency_ms,avg_delta_latency_ms,avg_update_latency_ms
Snap,Nr,5,40,20,10,30,2,0.4000,0.010000,4096,20,4853.727743,339.409330,605.689422,325.692547,562.024860,354.049676,0.000230
Ivmh,Nr,5,40,20,10,30,2,0.4000,0.010000,4096,20,3787.322408,149.479798,501.026069,122.936962,280.003768,731.542283,22.917502
Heap,Wr,5,40,20,10,30,2,0.4000,0.010000,4096,20,1222.495435,81.459944,94.722155,61.119651,87.058293,129.554755,0.032802
Chain,Wr,5,40,20,10,30,2,0.4000,0.010000,4096,20,1165.296796,85.011869,95.067167,54.412080,81.699610,104.663342,0.054455
Par,Wr,5,40,20,10,30,2,0.4000,0.010000,4096,20,1321.179868,103.515957,147.245646,69.601443,91.312941,17.667944,29.350083
