table_type,repair_mode,update_pct,distribution,part_rows,lineitem_rows,update_ops,j1_alloc_ms,j1_insert_ms,join1_build_ms,join1_probe_ms,update_ms,join2_build_ms,join2_probe_ms,total_ms,join1_matched,join2_matched,join1_q14_ratio,join2_q14_ratio
Naive,Nr,0.010000,uniform,200000,75983,20,0.000549,32.003424,32.003972,23.922445,0.000049,36.448458,31.231417,123.606340,75983,75983,16.380779,16.383111
Ivmh,Nr,0.010000,uniform,200000,75983,20,4.885702,28.054979,32.940681,27.780542,0.005188,0.000000,27.719722,88.446132,75983,75983,16.380779,16.383111
Heap,Nr,0.010000,uniform,200000,75983,20,4.970799,23.207451,28.178250,27.824618,0.006861,0.000000,32.212910,88.222639,75983,75983,16.380779,16.383111
Heap,Rr,0.010000,uniform,200000,75983,20,5.548465,26.162389,31.710855,30.689069,0.007660,0.000000,44.422507,106.830091,75983,75983,16.380779,16.383111
Heap,Wr,0.010000,uniform,200000,75983,20,5.756784,27.444548,33.201333,35.636076,0.973097,0.000000,31.943903,101.754409,75983,75983,16.380779,16.383111
Chain,Wr,0.010000,uniform,200000,75983,20,6.626924,36.104007,42.730931,38.284868,1.503452,0.000000,38.980007,121.499258,75983,75983,16.380779,16.383111
Par,Nr,0.010000,uniform,200000,75983,20,5.126055,23.571063,28.697118,25.826389,0.023466,0.000000,33.696993,88.243966,75983,75983,16.380779,16.380779
Par,Rr,0.010000,uniform,200000,75983,20,6.394299,30.838965,37.233264,35.069132,0.036215,0.000000,61.779208,134.117819,75983,75983,16.380779,16.383111
Par,Wr,0.010000,uniform,200000,75983,20,4.905007,23.594424,28.499431,25.238167,0.560715,0.000000,23.559958,77.858272,75983,75983,16.380779,16.383111
