table_type,repair_mode,reader_threads,writer_threads,bucket_num,total_probes,total_updates,total_ms,reader_throughput,writer_throughput
Snap,Nr,4,0,2048,75983,0,61.401,1261185.6,0.0
Ivmh,Nr,4,0,2048,75983,0,97.459,783596.4,0.0
Snap,Nr,4,0,2048,75983,400,61.130,1243662.1,0.0
Ivmh,Nr,4,0,2048,75983,400,180.162,440578.6,0.0
Heap,Nr,4,1,2048,75983,400,18.798,4184960.0,22031.0
Heap,Rr,4,1,2048,75983,400,22.118,3474046.3,18288.5
Heap,Wr,4,1,2048,75983,399,23.178,3291741.8,17313.5
Chain,Wr,4,1,2048,75983,400,23.952,3207157.0,16883.6
Par,Nr,4,1,2048,75983,400,30.270,2517095.6,13250.8
Par,Rr,4,1,2048,75983,400,30.235,2517793.1,13254.5
Par,Wr,4,1,2048,75983,400,39.469,2112942.5,11114.9
Snap,Nr,4,0,2048,75983,800,136.713,612230.9,0.0
Ivmh,Nr,4,0,2048,75983,800,112.789,695074.9,0.0
Heap,Nr,4,1,2048,75983,800,21.240,3606164.6,37968.1
Heap,Rr,4,1,2048,75983,800,26.335,2927299.2,30820.6
Heap,Wr,4,1,2048,75983,797,22.742,3341090.8,35074.5
Chain,Wr,4,1,2048,75983,800,25.770,3000848.8,31594.9
Par,Nr,4,1,2048,75983,800,29.265,2616862.1,27552.1
Par,Rr,4,1,2048,75983,800,25.946,2937439.3,30927.3
Par,Wr,4,1,2048,75983,798,28.307,2713067.6,28504.9
Snap,Nr,4,0,2048,75983,1200,172.090,504490.1,0.0
Ivmh,Nr,4,0,2048,75983,1200,198.282,405094.0,0.0
Heap,Nr,4,1,2048,75983,1200,40.961,1882668.7,29733.0
Heap,Rr,4,1,2048,75983,1200,31.129,2441842.8,38564.0
Heap,Wr,4,1,2048,75983,1200,21.816,3540059.3,55879.5
Chain,Wr,4,1,2048,75983,1200,28.801,2650385.1,41857.5
Par,Nr,4,1,2048,75983,1200,30.469,2495307.6,39408.4
Par,Rr,4,1,2048,75983,1200,43.671,1741437.5,27502.5
Par,Wr,4,1,2048,75983,1196,55.720,1717897.6,27068.6
Snap,Nr,4,0,2048,75983,1600,57.089,1334033.2,0.0
Ivmh,Nr,4,0,2048,75983,1600,117.608,651022.7,0.0
Heap,Nr,4,1,2048,75983,1600,23.599,3251382.7,68465.5
Heap,Rr,4,1,2048,75983,1600,26.618,2872838.8,60494.3
Heap,Wr,4,1,2048,75983,1595,21.522,3758370.5,78938.2
Chain,Wr,4,1,2048,75983,1600,32.425,2408562.0,50717.9
Par,Nr,4,1,2048,75983,1600,32.471,2348767.9,49458.8
Par,Rr,4,1,2048,75983,1600,34.815,2189936.8,46114.2
Par,Wr,4,1,2048,75983,1598,29.202,2675332.2,56244.1
Snap,Nr,4,0,2048,75983,2000,97.780,788981.3,0.0
Ivmh,Nr,4,0,2048,75983,2000,126.008,603597.2,0.0
Heap,Nr,4,1,2048,75983,2000,22.705,3373375.9,88792.9
Heap,Rr,4,1,2048,75983,2000,29.758,2580494.7,67922.9
Heap,Wr,4,1,2048,75983,1997,27.574,2762648.4,72643.7
Chain,Wr,4,1,2048,75983,2000,25.951,2934088.0,77230.1
Par,Nr,4,1,2048,75983,2000,27.486,2801185.3,73731.9
Par,Rr,4,1,2048,75983,2000,33.078,2306743.1,60717.3
Par,Wr,4,1,2048,75983,1996,26.673,2894090.9,76048.4
