table_type,repair_mode,reader_threads,writer_threads,bucket_num,total_probes,total_updates,total_ms,reader_throughput,writer_throughput
Snap,Nr,4,0,2048,75983,2000,116.348,660374.4,0.0
Ivmh,Nr,4,0,2048,75983,2000,338.283,230789.2,0.0
Heap,Nr,4,1,2048,75983,2000,47.756,2045486.5,53840.6
Heap,Rr,4,1,2048,75983,2000,59.425,1392066.8,36641.5
Heap,Wr,4,1,2048,75983,1997,18.812,4058557.2,106718.2
Chain,Wr,4,1,2048,75983,2000,23.191,3375753.3,88855.5
Par,Nr,4,1,2048,75983,2000,50.426,1653267.3,43516.8
Par,Rr,4,1,2048,75983,2000,38.307,1983681.9,52213.8
Par,Wr,4,1,2048,75983,1996,25.508,2984425.6,78420.8
