table_type,repair_mode,reader_threads,writer_threads,bucket_num,total_probes,total_updates,total_ms,reader_throughput,writer_throughput
Snap,Nr,1,0,2048,7630,200,9.116,849238.9,0.0
Heap,Nr,1,1,2048,7630,200,2.536,3021957.9,79212.5
Heap,Rr,1,1,2048,7630,200,2.969,2570881.0,67388.8
Heap,Wr,1,1,2048,7630,200,1.632,4674827.7,122538.1
Chain,Wr,1,1,2048,7630,200,1.876,4071620.2,106726.6
Par,Nr,1,1,2048,7630,200,2.224,3431719.8,89953.3
Par,Rr,1,1,2048,7630,200,3.197,2387630.4,62585.3
Par,Wr,1,1,2048,7630,200,1.868,4090025.7,107209.1
Snap,Nr,2,0,2048,7630,200,5.738,1330982.1,0.0
Heap,Nr,2,1,2048,7630,200,1.489,5139380.7,134715.1
Heap,Rr,2,1,2048,7630,200,1.862,4109391.4,107716.7
Heap,Wr,2,1,2048,7630,200,1.430,5335493.1,139855.7
Chain,Wr,2,1,2048,7630,200,1.489,5186307.1,135945.1
Par,Nr,2,1,2048,7630,200,2.120,3635763.6,95301.8
Par,Rr,2,1,2048,7630,200,2.166,3538381.2,92749.2
Par,Wr,2,1,2048,7630,200,1.554,4921137.9,128994.4
Snap,Nr,4,0,2048,7630,200,6.082,1254722.3,0.0
Heap,Nr,4,1,2048,7630,200,1.623,4702126.8,123253.7
Heap,Rr,4,1,2048,7630,200,1.793,4255746.2,111553.0
Heap,Wr,4,1,2048,7630,200,1.565,4876179.7,127816.0
Chain,Wr,4,1,2048,7630,200,1.879,4064979.0,106552.5
Par,Nr,4,1,2048,7630,200,1.875,4072544.2,106750.8
Par,Rr,4,1,2048,7630,200,2.023,3770990.2,98846.4
Par,Wr,4,1,2048,7630,200,1.755,4346708.2,113937.3
Snap,Nr,8,0,2048,7630,200,7.638,1013160.5,0.0
Heap,Nr,8,1,2048,7630,200,2.701,2827366.8,74111.8
Heap,Rr,8,1,2048,7630,200,2.132,3615709.6,94776.1
Heap,Wr,8,1,2048,7630,200,1.994,3867270.6,101370.1
Chain,Wr,8,1,2048,7630,200,3.438,2228377.3,58410.9
Par,Nr,8,1,2048,7630,200,3.024,2539625.1,66569.5
Par,Rr,8,1,2048,7630,200,2.697,2837732.5,74383.6
Par,Wr,8,1,2048,7630,200,3.163,2431809.3,63743.4
