table_label,history_scans,component,duration_ms
IVMH,0,InitLoad,0.9034456111111111
IVMH,0,RecentScan,22.86854633333333
IVMH,0,Update,0.005046305555555556
IVMH,1,BuildSnap,2.9920370555555555
IVMH,1,HistoryScan,1.133121527777778
IVMH,1,InitLoad,0.7957395833333334
IVMH,1,RecentScan,22.348974555555557
IVMH,1,Update,0.005285944444444444
IVMH,2,BuildSnap,6.012307861111111
IVMH,2,HistoryScan,2.058523111111111
IVMH,2,InitLoad,1.0286377222222223
IVMH,2,RecentScan,21.93038663888889
IVMH,2,Update,0.005752361111111111
IVMH,3,BuildSnap,8.388394666666667
IVMH,3,HistoryScan,3.148118027777778
IVMH,3,InitLoad,0.8296088055555555
IVMH,3,RecentScan,20.76209013888889
IVMH,3,Update,0.004197888888888889
IVMH,4,BuildSnap,11.018761583333335
IVMH,4,HistoryScan,3.9875486666666666
IVMH,4,InitLoad,0.7835486388888889
IVMH,4,RecentScan,18.766663166666667
IVMH,4,Update,0.003839138888888889
EPOCH-WR,0,InitLoad,1.0865416944444444
EPOCH-WR,0,RecentScan,21.23026513888889
EPOCH-WR,0,Update,0.26598269444444445
EPOCH-WR,1,HistoryScan,0.8110845277777777
EPOCH-WR,1,InitLoad,1.069972222222222
EPOCH-WR,1,RecentScan,20.131101777777776
EPOCH-WR,1,Update,0.25443861111111116
EPOCH-WR,2,HistoryScan,1.773459472222222
EPOCH-WR,2,InitLoad,1.0814259444444445
EPOCH-WR,2,RecentScan,20.303819333333333
EPOCH-WR,2,Update,0.2826076111111111
EPOCH-WR,3,HistoryScan,2.5335393611111114
EPOCH-WR,3,InitLoad,1.0767522777777776
EPOCH-WR,3,RecentScan,18.401069444444445
EPOCH-WR,3,Update,0.25506825
EPOCH-WR,4,HistoryScan,3.419297444444444
EPOCH-WR,4,InitLoad,1.0883946944444445
EPOCH-WR,4,RecentScan,17.8770915
EPOCH-WR,4,Update,0.2773506666666667
