table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,history_scans,component
ivmh,No Repair,0,0,InitLoad,14.312833,60000.0,,,,,0,0,
ivmh,No Repair,1,1,RecentScan,19.928834,,1.0,,,,0,0,RecentScan
ivmh,No Repair,2,2,RecentScan,17.567958,,2.0,,,,0,0,RecentScan
ivmh,No Repair,3,3,RecentScan,17.556708,,3.0,,,,0,0,RecentScan
ivmh,No Repair,4,4,RecentScan,17.692583,,4.0,,,,0,0,RecentScan
ivmh,No Repair,5,5,RecentScan,15.917416,,5.0,,,,0,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001125,,6.0,,,,0,0,
ivmh,No Repair,7,7,Update,0.0205,6.0,,,,,0,0,Update
ivmh,No Repair,8,8,RecentScan,15.759208,,8.0,,,,0,0,RecentScan
ivmh,No Repair,9,9,RecentScan,17.458542,,9.0,,,,0,0,RecentScan
ivmh,No Repair,10,10,RecentScan,15.155625,,10.0,,,,0,0,RecentScan
ivmh,No Repair,11,11,RecentScan,17.896709,,11.0,,,,0,0,RecentScan
ivmh,No Repair,12,12,RecentScan,17.379834,,12.0,,,,0,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,0,
ivmh,No Repair,14,14,Update,0.01225,6.0,,,,,0,0,Update
ivmh,No Repair,15,15,RecentScan,18.469916,,15.0,,,,0,0,RecentScan
ivmh,No Repair,16,16,RecentScan,18.115,,16.0,,,,0,0,RecentScan
ivmh,No Repair,17,17,RecentScan,17.117084,,17.0,,,,0,0,RecentScan
ivmh,No Repair,18,18,RecentScan,16.689458,,18.0,,,,0,0,RecentScan
ivmh,No Repair,19,19,RecentScan,17.347666,,19.0,,,,0,0,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,0,
ivmh,No Repair,21,21,Update,0.022459,6.0,,,,,0,0,Update
ivmh,No Repair,22,22,RecentScan,16.944208,,22.0,,,,0,0,RecentScan
ivmh,No Repair,23,23,RecentScan,17.005041,,23.0,,,,0,0,RecentScan
ivmh,No Repair,24,24,RecentScan,16.700333,,24.0,,,,0,0,RecentScan
ivmh,No Repair,25,25,RecentScan,17.005833,,25.0,,,,0,0,RecentScan
ivmh,No Repair,26,26,RecentScan,17.250209,,26.0,,,,0,0,RecentScan
ivmh,No Repair,27,27,MarkTs,0.00125,,27.0,,,,0,0,
ivmh,No Repair,28,28,Update,0.022875,6.0,,,,,0,0,Update
ivmh,No Repair,29,29,RecentScan,16.420125,,29.0,,,,0,0,RecentScan
ivmh,No Repair,30,30,RecentScan,15.989583,,30.0,,,,0,0,RecentScan
ivmh,No Repair,31,31,RecentScan,17.079917,,31.0,,,,0,0,RecentScan
ivmh,No Repair,32,32,RecentScan,18.473708,,32.0,,,,0,0,RecentScan
ivmh,No Repair,33,33,RecentScan,15.965541,,33.0,,,,0,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,0,
ivmh,No Repair,35,35,Update,0.016292,6.0,,,,,0,0,Update
ivmh,No Repair,0,0,InitLoad,15.875208,60000.0,,,,,1,0,
ivmh,No Repair,1,1,RecentScan,21.193375,,1.0,,,,1,0,RecentScan
ivmh,No Repair,2,2,RecentScan,19.1025,,2.0,,,,1,0,RecentScan
ivmh,No Repair,3,3,RecentScan,18.226292,,3.0,,,,1,0,RecentScan
ivmh,No Repair,4,4,RecentScan,17.095833,,4.0,,,,1,0,RecentScan
ivmh,No Repair,5,5,RecentScan,16.76975,,5.0,,,,1,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0,,6.0,,,,1,0,
ivmh,No Repair,7,7,Update,0.022166,6.0,,,,,1,0,Update
ivmh,No Repair,8,8,RecentScan,16.691666,,8.0,,,,1,0,RecentScan
ivmh,No Repair,9,9,RecentScan,16.793291,,9.0,,,,1,0,RecentScan
ivmh,No Repair,10,10,RecentScan,16.189209,,10.0,,,,1,0,RecentScan
ivmh,No Repair,11,11,RecentScan,17.558417,,11.0,,,,1,0,RecentScan
ivmh,No Repair,12,12,RecentScan,17.939666,,12.0,,,,1,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,1,0,
ivmh,No Repair,14,14,Update,0.013083000000000001,6.0,,,,,1,0,Update
ivmh,No Repair,15,15,RecentScan,17.51425,,15.0,,,,1,0,RecentScan
ivmh,No Repair,16,16,RecentScan,16.380875,,16.0,,,,1,0,RecentScan
ivmh,No Repair,17,17,RecentScan,17.313459,,17.0,,,,1,0,RecentScan
ivmh,No Repair,18,18,RecentScan,17.633333,,18.0,,,,1,0,RecentScan
ivmh,No Repair,19,19,RecentScan,17.642125,,19.0,,,,1,0,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,1,0,
ivmh,No Repair,21,21,Update,0.01725,6.0,,,,,1,0,Update
ivmh,No Repair,22,22,RecentScan,17.3065,,22.0,,,,1,0,RecentScan
ivmh,No Repair,23,23,RecentScan,17.575166,,23.0,,,,1,0,RecentScan
ivmh,No Repair,24,24,RecentScan,18.361875,,24.0,,,,1,0,RecentScan
ivmh,No Repair,25,25,RecentScan,18.222125,,25.0,,,,1,0,RecentScan
ivmh,No Repair,26,26,RecentScan,18.316125,,26.0,,,,1,0,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001292,,27.0,,,,1,0,
ivmh,No Repair,28,28,Update,0.026125,6.0,,,,,1,0,Update
ivmh,No Repair,29,29,RecentScan,17.842917,,29.0,,,,1,0,RecentScan
ivmh,No Repair,30,30,RecentScan,18.012834,,30.0,,,,1,0,RecentScan
ivmh,No Repair,31,31,RecentScan,17.878375,,31.0,,,,1,0,RecentScan
ivmh,No Repair,32,32,RecentScan,16.620291,,32.0,,,,1,0,RecentScan
ivmh,No Repair,33,33,RecentScan,17.414917,,33.0,,,,1,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,0,
ivmh,No Repair,35,35,Update,0.01375,6.0,,,,,1,0,Update
ivmh,No Repair,0,0,InitLoad,15.378,60000.0,,,,,0,1,
ivmh,No Repair,1,1,RecentScan,18.688084,,1.0,,,,0,1,RecentScan
ivmh,No Repair,2,2,RecentScan,20.028833,,2.0,,,,0,1,RecentScan
ivmh,No Repair,3,3,RecentScan,19.064292,,3.0,,,,0,1,RecentScan
ivmh,No Repair,4,4,RecentScan,17.469459,,4.0,,,,0,1,RecentScan
ivmh,No Repair,5,5,RecentScan,18.99325,,5.0,,,,0,1,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001333,,6.0,,,,0,1,
ivmh,No Repair,7,7,Update,0.026583,6.0,,,,,0,1,Update
ivmh,No Repair,8,8,MarkTs,57.150291,,6.0,,,HistoryScan,0,1,BuildSnap
ivmh,No Repair,8,8,HistoryScan,18.045125,,6.0,,,,0,1,HistoryScan
ivmh,No Repair,9,9,RecentScan,20.2745,,9.0,,,,0,1,RecentScan
ivmh,No Repair,10,10,RecentScan,20.216333,,10.0,,,,0,1,RecentScan
ivmh,No Repair,11,11,RecentScan,17.894916,,11.0,,,,0,1,RecentScan
ivmh,No Repair,12,12,RecentScan,19.182125,,12.0,,,,0,1,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,1,
ivmh,No Repair,14,14,Update,0.0215,6.0,,,,,0,1,Update
ivmh,No Repair,15,15,RecentScan,16.81825,,15.0,,,,0,1,RecentScan
ivmh,No Repair,16,16,RecentScan,17.454959,,16.0,,,,0,1,RecentScan
ivmh,No Repair,17,17,RecentScan,16.289958,,17.0,,,,0,1,RecentScan
ivmh,No Repair,18,18,RecentScan,16.163042,,18.0,,,,0,1,RecentScan
ivmh,No Repair,19,19,RecentScan,15.246375,,19.0,,,,0,1,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,1,
ivmh,No Repair,21,21,Update,0.022375,6.0,,,,,0,1,Update
ivmh,No Repair,22,22,RecentScan,18.217833,,22.0,,,,0,1,RecentScan
ivmh,No Repair,23,23,RecentScan,18.301917,,23.0,,,,0,1,RecentScan
ivmh,No Repair,24,24,RecentScan,17.491208,,24.0,,,,0,1,RecentScan
ivmh,No Repair,25,25,RecentScan,17.954208,,25.0,,,,0,1,RecentScan
ivmh,No Repair,26,26,RecentScan,18.389917,,26.0,,,,0,1,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001292,,27.0,,,,0,1,
ivmh,No Repair,28,28,Update,0.018375,6.0,,,,,0,1,Update
ivmh,No Repair,29,29,RecentScan,19.963791,,29.0,,,,0,1,RecentScan
ivmh,No Repair,30,30,RecentScan,17.537916,,30.0,,,,0,1,RecentScan
ivmh,No Repair,31,31,RecentScan,17.613,,31.0,,,,0,1,RecentScan
ivmh,No Repair,32,32,RecentScan,19.837166,,32.0,,,,0,1,RecentScan
ivmh,No Repair,33,33,RecentScan,18.504125,,33.0,,,,0,1,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,1,
ivmh,No Repair,35,35,Update,0.018208,6.0,,,,,0,1,Update
ivmh,No Repair,0,0,InitLoad,15.036875,60000.0,,,,,1,1,
ivmh,No Repair,1,1,RecentScan,18.346833,,1.0,,,,1,1,RecentScan
ivmh,No Repair,2,2,RecentScan,18.976875,,2.0,,,,1,1,RecentScan
ivmh,No Repair,3,3,RecentScan,20.431416,,3.0,,,,1,1,RecentScan
ivmh,No Repair,4,4,RecentScan,18.285958,,4.0,,,,1,1,RecentScan
ivmh,No Repair,5,5,RecentScan,18.034042,,5.0,,,,1,1,RecentScan
ivmh,No Repair,6,6,MarkTs,0.00175,,6.0,,,,1,1,
ivmh,No Repair,7,7,Update,0.025542000000000002,6.0,,,,,1,1,Update
ivmh,No Repair,8,8,MarkTs,56.766958,,6.0,,,HistoryScan,1,1,BuildSnap
ivmh,No Repair,8,8,HistoryScan,18.821209,,6.0,,,,1,1,HistoryScan
ivmh,No Repair,9,9,RecentScan,17.66675,,9.0,,,,1,1,RecentScan
ivmh,No Repair,10,10,RecentScan,17.687292,,10.0,,,,1,1,RecentScan
ivmh,No Repair,11,11,RecentScan,19.137333,,11.0,,,,1,1,RecentScan
ivmh,No Repair,12,12,RecentScan,17.995,,12.0,,,,1,1,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,1,1,
ivmh,No Repair,14,14,Update,0.021167000000000002,6.0,,,,,1,1,Update
ivmh,No Repair,15,15,RecentScan,20.608917,,15.0,,,,1,1,RecentScan
ivmh,No Repair,16,16,RecentScan,16.550291,,16.0,,,,1,1,RecentScan
ivmh,No Repair,17,17,RecentScan,17.298875,,17.0,,,,1,1,RecentScan
ivmh,No Repair,18,18,RecentScan,17.733625,,18.0,,,,1,1,RecentScan
ivmh,No Repair,19,19,RecentScan,17.081166,,19.0,,,,1,1,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0012079999999999999,,20.0,,,,1,1,
ivmh,No Repair,21,21,Update,0.023125,6.0,,,,,1,1,Update
ivmh,No Repair,22,22,RecentScan,16.567125,,22.0,,,,1,1,RecentScan
ivmh,No Repair,23,23,RecentScan,15.7995,,23.0,,,,1,1,RecentScan
ivmh,No Repair,24,24,RecentScan,17.823625,,24.0,,,,1,1,RecentScan
ivmh,No Repair,25,25,RecentScan,15.425916,,25.0,,,,1,1,RecentScan
ivmh,No Repair,26,26,RecentScan,16.455542,,26.0,,,,1,1,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001542,,27.0,,,,1,1,
ivmh,No Repair,28,28,Update,0.036334000000000005,6.0,,,,,1,1,Update
ivmh,No Repair,29,29,RecentScan,16.736291,,29.0,,,,1,1,RecentScan
ivmh,No Repair,30,30,RecentScan,17.722667,,30.0,,,,1,1,RecentScan
ivmh,No Repair,31,31,RecentScan,14.333083,,31.0,,,,1,1,RecentScan
ivmh,No Repair,32,32,RecentScan,14.942541,,32.0,,,,1,1,RecentScan
ivmh,No Repair,33,33,RecentScan,14.793833,,33.0,,,,1,1,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,1,
ivmh,No Repair,35,35,Update,0.010166999999999999,6.0,,,,,1,1,Update
ivmh,No Repair,0,0,InitLoad,14.070792,60000.0,,,,,0,2,
ivmh,No Repair,1,1,RecentScan,18.265041,,1.0,,,,0,2,RecentScan
ivmh,No Repair,2,2,RecentScan,17.392875,,2.0,,,,0,2,RecentScan
ivmh,No Repair,3,3,RecentScan,16.520417,,3.0,,,,0,2,RecentScan
ivmh,No Repair,4,4,RecentScan,15.928791,,4.0,,,,0,2,RecentScan
ivmh,No Repair,5,5,RecentScan,15.797292,,5.0,,,,0,2,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0,,6.0,,,,0,2,
ivmh,No Repair,7,7,Update,0.015333,6.0,,,,,0,2,Update
