table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,history_scans,component
ivmh,No Repair,29,29,RecentScan,19.136083,,29.0,,,,1,0,RecentScan
ivmh,No Repair,30,30,RecentScan,15.959416,,30.0,,,,1,0,RecentScan
ivmh,No Repair,31,31,RecentScan,19.446834,,31.0,,,,1,0,RecentScan
ivmh,No Repair,32,32,RecentScan,19.631042,,32.0,,,,1,0,RecentScan
ivmh,No Repair,33,33,RecentScan,16.377875,,33.0,,,,1,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,0,
ivmh,No Repair,35,35,Update,0.01225,6.0,,,,,1,0,Update
ivmh,No Repair,0,0,InitLoad,16.970166,60000.0,,,,,0,1,BuildCUR
ivmh,No Repair,1,1,RecentScan,19.434875,,1.0,,,,0,1,RecentScan
ivmh,No Repair,2,2,RecentScan,17.295917,,2.0,,,,0,1,RecentScan
ivmh,No Repair,3,3,RecentScan,19.834291,,3.0,,,,0,1,RecentScan
ivmh,No Repair,4,4,RecentScan,19.376375,,4.0,,,,0,1,RecentScan
ivmh,No Repair,5,5,RecentScan,30.189083,,5.0,,,,0,1,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001542,,6.0,,,,0,1,
ivmh,No Repair,7,7,Update,0.027957999999999997,6.0,,,,,0,1,Update
ivmh,No Repair,8,8,MarkTs,58.651959,,6.0,,,HistoryScan,0,1,BuildSnap
ivmh,No Repair,8,8,HistoryScan,20.899792,,6.0,,,,0,1,HistoryScan
ivmh,No Repair,9,9,RecentScan,18.880584,,9.0,,,,0,1,RecentScan
ivmh,No Repair,10,10,RecentScan,16.27425,,10.0,,,,0,1,RecentScan
ivmh,No Repair,11,11,RecentScan,17.280042,,11.0,,,,0,1,RecentScan
ivmh,No Repair,12,12,RecentScan,17.857083,,12.0,,,,0,1,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,1,
ivmh,No Repair,14,14,Update,0.012833,6.0,,,,,0,1,Update
ivmh,No Repair,15,15,RecentScan,16.994542,,15.0,,,,0,1,RecentScan
ivmh,No Repair,16,16,RecentScan,17.228,,16.0,,,,0,1,RecentScan
ivmh,No Repair,17,17,RecentScan,16.360166,,17.0,,,,0,1,RecentScan
ivmh,No Repair,18,18,RecentScan,16.955,,18.0,,,,0,1,RecentScan
ivmh,No Repair,19,19,RecentScan,16.264291,,19.0,,,,0,1,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,1,
ivmh,No Repair,21,21,Update,0.013542,6.0,,,,,0,1,Update
ivmh,No Repair,22,22,RecentScan,16.586459,,22.0,,,,0,1,RecentScan
ivmh,No Repair,23,23,RecentScan,15.5355,,23.0,,,,0,1,RecentScan
ivmh,No Repair,24,24,RecentScan,17.342167,,24.0,,,,0,1,RecentScan
ivmh,No Repair,25,25,RecentScan,17.757292,,25.0,,,,0,1,RecentScan
ivmh,No Repair,26,26,RecentScan,15.722167,,26.0,,,,0,1,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001459,,27.0,,,,0,1,
ivmh,No Repair,28,28,Update,0.016541,6.0,,,,,0,1,Update
ivmh,No Repair,29,29,RecentScan,15.108375,,29.0,,,,0,1,RecentScan
ivmh,No Repair,30,30,RecentScan,15.717917,,30.0,,,,0,1,RecentScan
ivmh,No Repair,31,31,RecentScan,17.739375,,31.0,,,,0,1,RecentScan
ivmh,No Repair,32,32,RecentScan,19.231667,,32.0,,,,0,1,RecentScan
ivmh,No Repair,33,33,RecentScan,17.229625,,33.0,,,,0,1,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,1,
ivmh,No Repair,35,35,Update,0.011459,6.0,,,,,0,1,Update
ivmh,No Repair,0,0,InitLoad,15.579834,60000.0,,,,,1,1,BuildCUR
ivmh,No Repair,1,1,RecentScan,19.884541,,1.0,,,,1,1,RecentScan
ivmh,No Repair,2,2,RecentScan,17.546667,,2.0,,,,1,1,RecentScan
ivmh,No Repair,3,3,RecentScan,17.463667,,3.0,,,,1,1,RecentScan
ivmh,No Repair,4,4,RecentScan,15.394084,,4.0,,,,1,1,RecentScan
ivmh,No Repair,5,5,RecentScan,17.153583,,5.0,,,,1,1,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001083,,6.0,,,,1,1,
ivmh,No Repair,7,7,Update,0.027625,6.0,,,,,1,1,Update
ivmh,No Repair,8,8,MarkTs,55.543917,,6.0,,,HistoryScan,1,1,BuildSnap
ivmh,No Repair,8,8,HistoryScan,19.650084,,6.0,,,,1,1,HistoryScan
ivmh,No Repair,9,9,RecentScan,18.180375,,9.0,,,,1,1,RecentScan
ivmh,No Repair,10,10,RecentScan,16.991167,,10.0,,,,1,1,RecentScan
ivmh,No Repair,11,11,RecentScan,17.829208,,11.0,,,,1,1,RecentScan
ivmh,No Repair,12,12,RecentScan,16.136833,,12.0,,,,1,1,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,1,1,
ivmh,No Repair,14,14,Update,0.010291,6.0,,,,,1,1,Update
ivmh,No Repair,15,15,RecentScan,16.868708,,15.0,,,,1,1,RecentScan
ivmh,No Repair,16,16,RecentScan,17.578416,,16.0,,,,1,1,RecentScan
ivmh,No Repair,17,17,RecentScan,17.29025,,17.0,,,,1,1,RecentScan
ivmh,No Repair,18,18,RecentScan,16.70725,,18.0,,,,1,1,RecentScan
ivmh,No Repair,19,19,RecentScan,17.305958,,19.0,,,,1,1,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,1,1,
ivmh,No Repair,21,21,Update,0.024416,6.0,,,,,1,1,Update
ivmh,No Repair,22,22,RecentScan,14.945666,,22.0,,,,1,1,RecentScan
ivmh,No Repair,23,23,RecentScan,16.292584,,23.0,,,,1,1,RecentScan
ivmh,No Repair,24,24,RecentScan,18.23025,,24.0,,,,1,1,RecentScan
ivmh,No Repair,25,25,RecentScan,17.3655,,25.0,,,,1,1,RecentScan
ivmh,No Repair,26,26,RecentScan,17.306666,,26.0,,,,1,1,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001667,,27.0,,,,1,1,
ivmh,No Repair,28,28,Update,0.015292,6.0,,,,,1,1,Update
ivmh,No Repair,29,29,RecentScan,17.789542,,29.0,,,,1,1,RecentScan
