history_scans,component,duration_ms
0,RecentScan,24.18006125
0,Update,0.0051875
1,BuildSnap,3.164368027777778
1,HistoryScan,1.024064833333333
1,RecentScan,23.72305425
1,Update,0.006204888888888888
2,BuildSnap,5.441309
2,HistoryScan,2.0949410000000004
2,RecentScan,21.27221061111111
2,Update,0.004439805555555555
3,BuildSnap,9.013167833333334
3,HistoryScan,3.388594916666667
3,RecentScan,21.50534961111111
3,Update,0.005297527777777778
4,BuildSnap,10.817500027777777
4,HistoryScan,4.0944073888888886
4,RecentScan,19.43965511111111
4,Update,0.003544027777777778
