table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,table_label,history_scans,component
ivmh,No Repair,0,0,InitLoad,49.519625,210000.0,,,,,0,IVMH,0,InitLoad
ivmh,No Repair,1,1,RecentScan,69.659166,,1.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,2,2,RecentScan,63.097167,,2.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,3,3,RecentScan,58.959166,,3.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,4,4,RecentScan,63.614417,,4.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,5,5,RecentScan,59.14275,,5.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0,,6.0,,,,0,IVMH,0,
ivmh,No Repair,7,7,Update,0.200458,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,8,8,RecentScan,65.895417,,8.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,9,9,RecentScan,63.391291,,9.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,10,10,RecentScan,60.396625,,10.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,11,11,RecentScan,59.796541,,11.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,12,12,RecentScan,61.19025,,12.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,IVMH,0,
ivmh,No Repair,14,14,Update,0.24920799999999999,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,15,15,RecentScan,58.149375,,15.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,16,16,RecentScan,60.153875,,16.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,17,17,RecentScan,62.320334,,17.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,18,18,RecentScan,60.519417,,18.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,19,19,RecentScan,62.506458,,19.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,20,20,MarkTs,0.001375,,20.0,,,,0,IVMH,0,
ivmh,No Repair,21,21,Update,0.188917,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,22,22,RecentScan,61.030875,,22.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,23,23,RecentScan,60.884292,,23.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,24,24,RecentScan,60.74425,,24.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,25,25,RecentScan,61.455292,,25.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,26,26,RecentScan,57.864125,,26.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,27,27,MarkTs,0.0024159999999999997,,27.0,,,,0,IVMH,0,
ivmh,No Repair,28,28,Update,0.250583,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,29,29,RecentScan,59.978833,,29.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,30,30,RecentScan,59.592333,,30.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,31,31,RecentScan,61.875042,,31.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,32,32,RecentScan,60.547542,,32.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,33,33,RecentScan,57.174,,33.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,IVMH,0,
ivmh,No Repair,35,35,Update,0.2265,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,36,36,RecentScan,60.944667,,36.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,37,37,RecentScan,60.816584,,37.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,38,38,RecentScan,81.756792,,38.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,39,39,RecentScan,67.164875,,39.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,40,40,RecentScan,59.455209,,40.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,41,41,MarkTs,0.0017079999999999999,,41.0,,,,0,IVMH,0,
ivmh,No Repair,42,42,Update,0.15875,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,43,43,RecentScan,61.22625,,43.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,44,44,RecentScan,65.860041,,44.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,45,45,RecentScan,59.467875,,45.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,46,46,RecentScan,61.54875,,46.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,47,47,RecentScan,61.807375,,47.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,48,48,MarkTs,0.0,,48.0,,,,0,IVMH,0,
ivmh,No Repair,49,49,Update,0.193834,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,50,50,RecentScan,61.529875,,50.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,51,51,RecentScan,64.637917,,51.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,52,52,RecentScan,61.486209,,52.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,53,53,RecentScan,61.452083,,53.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,54,54,RecentScan,63.846042,,54.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,55,55,MarkTs,0.001625,,55.0,,,,0,IVMH,0,
ivmh,No Repair,56,56,Update,0.173458,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,57,57,RecentScan,64.171167,,57.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,58,58,RecentScan,59.915791,,58.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,59,59,RecentScan,58.525875,,59.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,60,60,RecentScan,60.812625,,60.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,61,61,RecentScan,60.6485,,61.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,62,62,MarkTs,0.001,,62.0,,,,0,IVMH,0,
ivmh,No Repair,63,63,Update,0.22025,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,64,64,RecentScan,60.109709,,64.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,65,65,RecentScan,60.87875,,65.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,66,66,RecentScan,60.578583,,66.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,67,67,RecentScan,60.495792,,67.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,68,68,RecentScan,63.596708,,68.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,69,69,MarkTs,0.0,,69.0,,,,0,IVMH,0,
ivmh,No Repair,70,70,Update,0.192417,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,0,0,InitLoad,48.316917,210000.0,,,,,1,IVMH,0,InitLoad
ivmh,No Repair,1,1,RecentScan,65.891958,,1.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,2,2,RecentScan,62.709292,,2.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,3,3,RecentScan,57.556875,,3.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,4,4,RecentScan,67.236125,,4.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,5,5,RecentScan,70.763333,,5.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0013340000000000001,,6.0,,,,1,IVMH,0,
ivmh,No Repair,7,7,Update,0.21979200000000002,21.0,,,,,1,IVMH,0,Update
ivmh,No Repair,8,8,RecentScan,59.288625,,8.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,9,9,RecentScan,61.253208,,9.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,10,10,RecentScan,59.572375,,10.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,11,11,RecentScan,59.419542,,11.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,12,12,RecentScan,63.32725,,12.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0017079999999999999,,13.0,,,,1,IVMH,0,
ivmh,No Repair,14,14,Update,0.263209,21.0,,,,,1,IVMH,0,Update
ivmh,No Repair,15,15,RecentScan,66.555875,,15.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,16,16,RecentScan,61.468541,,16.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,17,17,RecentScan,95.04075,,17.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,18,18,RecentScan,64.264291,,18.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,19,19,RecentScan,61.445709,,19.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,1,IVMH,0,
ivmh,No Repair,21,21,Update,0.138584,21.0,,,,,1,IVMH,0,Update
ivmh,No Repair,22,22,RecentScan,61.767,,22.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,23,23,RecentScan,60.902083,,23.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,24,24,RecentScan,60.496541,,24.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,25,25,RecentScan,63.156917,,25.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,26,26,RecentScan,56.113583,,26.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,27,27,MarkTs,0.0027919999999999998,,27.0,,,,1,IVMH,0,
ivmh,No Repair,28,28,Update,0.244542,21.0,,,,,1,IVMH,0,Update
ivmh,No Repair,29,29,RecentScan,58.872875,,29.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,30,30,RecentScan,58.164333,,30.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,31,31,RecentScan,60.819042,,31.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,32,32,RecentScan,62.542166,,32.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,33,33,RecentScan,61.67375,,33.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,IVMH,0,
ivmh,No Repair,35,35,Update,0.247625,21.0,,,,,1,IVMH,0,Update
ivmh,No Repair,36,36,RecentScan,60.487917,,36.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,37,37,RecentScan,60.637042,,37.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,38,38,RecentScan,64.562167,,38.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,39,39,RecentScan,61.196125,,39.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,40,40,RecentScan,66.72475,,40.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,41,41,MarkTs,0.0,,41.0,,,,1,IVMH,0,
ivmh,No Repair,42,42,Update,0.193417,21.0,,,,,1,IVMH,0,Update
ivmh,No Repair,43,43,RecentScan,63.363292,,43.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,44,44,RecentScan,61.113083,,44.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,45,45,RecentScan,63.929,,45.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,46,46,RecentScan,62.174083,,46.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,47,47,RecentScan,66.078708,,47.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,48,48,MarkTs,0.0,,48.0,,,,1,IVMH,0,
ivmh,No Repair,49,49,Update,0.309542,21.0,,,,,1,IVMH,0,Update
ivmh,No Repair,50,50,RecentScan,67.052958,,50.0,,,,1,IVMH,0,RecentScan
