history_scans,component,duration_ms
0,BuildCUR,0.8723263888888889
0,RecentScan,23.757496527777775
0,Update,0.0038310277777777783
1,BuildCUR,0.9393645833333335
1,BuildSnap,3.3317615833333334
1,HistoryScan,1.137682861111111
1,RecentScan,35.02434611111111
1,Update,0.009890055555555555
2,BuildCUR,0.7784525555555556
2,BuildSnap,5.412692083333333
2,HistoryScan,2.0817315
2,RecentScan,21.90688311111111
2,Update,0.0032893888888888886
3,BuildCUR,0.7954386388888888
3,BuildSnap,9.000997694444443
3,HistoryScan,3.100719916666667
3,RecentScan,20.21537388888889
3,Update,0.003758111111111111
4,BuildCUR,0.8254525555555556
4,BuildSnap,12.869089111111112
4,HistoryScan,4.359006944444444
4,RecentScan,19.81949652777778
4,Update,0.005076416666666667
