table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,table_label,history_scans,component
ivmh,No Repair,31,31,RecentScan,14.755541,,31.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,32,32,RecentScan,15.857458,,32.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,33,33,RecentScan,16.341042,,33.0,,,,1,IVMH,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.001042,,34.0,,,,1,IVMH,0,
ivmh,No Repair,35,35,Update,0.024375,6.0,,,,,1,IVMH,0,Update
ivmh,No Repair,0,0,InitLoad,14.7425,60000.0,,,,,0,IVMH,1,InitLoad
ivmh,No Repair,1,1,RecentScan,18.277792,,1.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,2,2,RecentScan,17.303875,,2.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,3,3,RecentScan,16.39675,,3.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,4,4,RecentScan,16.341666,,4.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,5,5,RecentScan,14.691083,,5.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001333,,6.0,,,,0,IVMH,1,
ivmh,No Repair,7,7,Update,0.021625,6.0,,,,,0,IVMH,1,Update
ivmh,No Repair,8,8,MarkTs,48.342875,,6.0,,,HistoryScan,0,IVMH,1,BuildSnap
ivmh,No Repair,8,8,HistoryScan,17.089166,,6.0,,,,0,IVMH,1,HistoryScan
ivmh,No Repair,9,9,RecentScan,17.199875,,9.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,10,10,RecentScan,15.81975,,10.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,11,11,RecentScan,15.717917,,11.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,12,12,RecentScan,15.237208,,12.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,IVMH,1,
ivmh,No Repair,14,14,Update,0.0135,6.0,,,,,0,IVMH,1,Update
ivmh,No Repair,15,15,RecentScan,16.638292,,15.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,16,16,RecentScan,18.341875,,16.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,17,17,RecentScan,16.972667,,17.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,18,18,RecentScan,18.54775,,18.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,19,19,RecentScan,16.697542,,19.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,IVMH,1,
ivmh,No Repair,21,21,Update,0.031875,6.0,,,,,0,IVMH,1,Update
ivmh,No Repair,22,22,RecentScan,16.882917,,22.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,23,23,RecentScan,17.655833,,23.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,24,24,RecentScan,18.920917,,24.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,25,25,RecentScan,19.284625,,25.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,26,26,RecentScan,16.243833,,26.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001416,,27.0,,,,0,IVMH,1,
ivmh,No Repair,28,28,Update,0.024792,6.0,,,,,0,IVMH,1,Update
ivmh,No Repair,29,29,RecentScan,16.770791,,29.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,30,30,RecentScan,17.155875,,30.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,31,31,RecentScan,16.890458,,31.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,32,32,RecentScan,20.663417,,32.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,33,33,RecentScan,16.582083,,33.0,,,,0,IVMH,1,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,IVMH,1,
ivmh,No Repair,35,35,Update,0.026167000000000003,6.0,,,,,0,IVMH,1,Update
ivmh,No Repair,0,0,InitLoad,20.549584,60000.0,,,,,1,IVMH,1,InitLoad
ivmh,No Repair,1,1,RecentScan,18.860875,,1.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,2,2,RecentScan,18.684708,,2.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,3,3,RecentScan,15.773958,,3.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,4,4,RecentScan,16.69425,,4.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,5,5,RecentScan,16.400542,,5.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0,,6.0,,,,1,IVMH,1,
ivmh,No Repair,7,7,Update,0.023,6.0,,,,,1,IVMH,1,Update
ivmh,No Repair,8,8,MarkTs,66.332083,,6.0,,,HistoryScan,1,IVMH,1,BuildSnap
ivmh,No Repair,8,8,HistoryScan,18.109458,,6.0,,,,1,IVMH,1,HistoryScan
ivmh,No Repair,9,9,RecentScan,18.227917,,9.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,10,10,RecentScan,18.13975,,10.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,11,11,RecentScan,16.755667,,11.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,12,12,RecentScan,16.455875,,12.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,1,IVMH,1,
ivmh,No Repair,14,14,Update,0.025542000000000002,6.0,,,,,1,IVMH,1,Update
ivmh,No Repair,15,15,RecentScan,16.67525,,15.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,16,16,RecentScan,15.465084,,16.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,17,17,RecentScan,16.335041,,17.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,18,18,RecentScan,16.80325,,18.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,19,19,RecentScan,17.5005,,19.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,1,IVMH,1,
ivmh,No Repair,21,21,Update,0.030958,6.0,,,,,1,IVMH,1,Update
ivmh,No Repair,22,22,RecentScan,19.739833,,22.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,23,23,RecentScan,17.346958,,23.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,24,24,RecentScan,16.011333,,24.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,25,25,RecentScan,16.242917,,25.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,26,26,RecentScan,16.598792,,26.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001125,,27.0,,,,1,IVMH,1,
ivmh,No Repair,28,28,Update,0.026708,6.0,,,,,1,IVMH,1,Update
ivmh,No Repair,29,29,RecentScan,16.069083,,29.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,30,30,RecentScan,17.399958,,30.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,31,31,RecentScan,18.411625,,31.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,32,32,RecentScan,18.355625,,32.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,33,33,RecentScan,18.512292,,33.0,,,,1,IVMH,1,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,IVMH,1,
ivmh,No Repair,35,35,Update,0.0185,6.0,,,,,1,IVMH,1,Update
ivmh,No Repair,0,0,InitLoad,24.217334,60000.0,,,,,0,IVMH,2,InitLoad
ivmh,No Repair,1,1,RecentScan,21.687209,,1.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,2,2,RecentScan,18.031458,,2.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,3,3,RecentScan,18.284292,,3.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,4,4,RecentScan,18.496333,,4.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,5,5,RecentScan,15.101542,,5.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001042,,6.0,,,,0,IVMH,2,
ivmh,No Repair,7,7,Update,0.016666,6.0,,,,,0,IVMH,2,Update
ivmh,No Repair,8,8,MarkTs,53.562292,,6.0,,,HistoryScan,0,IVMH,2,BuildSnap
ivmh,No Repair,8,8,HistoryScan,17.530875,,6.0,,,,0,IVMH,2,HistoryScan
ivmh,No Repair,9,9,RecentScan,16.976042,,9.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,10,10,RecentScan,17.556584,,10.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,11,11,RecentScan,17.207792,,11.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,12,12,RecentScan,16.902916,,12.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,IVMH,2,
ivmh,No Repair,14,14,Update,0.021834,6.0,,,,,0,IVMH,2,Update
ivmh,No Repair,15,15,MarkTs,48.604792,,13.0,,,HistoryScan,0,IVMH,2,BuildSnap
ivmh,No Repair,15,15,HistoryScan,18.352708,,13.0,,,,0,IVMH,2,HistoryScan
ivmh,No Repair,16,16,RecentScan,16.852417,,16.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,17,17,RecentScan,17.886334,,17.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,18,18,RecentScan,15.654333,,18.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,19,19,RecentScan,18.671083,,19.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,IVMH,2,
ivmh,No Repair,21,21,Update,0.029166,6.0,,,,,0,IVMH,2,Update
ivmh,No Repair,22,22,RecentScan,18.254959,,22.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,23,23,RecentScan,18.118916,,23.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,24,24,RecentScan,16.315791,,24.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,25,25,RecentScan,16.939875,,25.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,26,26,RecentScan,16.115,,26.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001292,,27.0,,,,0,IVMH,2,
ivmh,No Repair,28,28,Update,0.014084,6.0,,,,,0,IVMH,2,Update
ivmh,No Repair,29,29,RecentScan,17.060667,,29.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,30,30,RecentScan,17.518584,,30.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,31,31,RecentScan,17.092708,,31.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,32,32,RecentScan,16.927833,,32.0,,,,0,IVMH,2,RecentScan
ivmh,No Repair,33,33,RecentScan,16.872833,,33.0,,,,0,IVMH,2,RecentScan
