table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,table_label,history_scans,component
ivmh,No Repair,0,0,InitLoad,52.244792,210000.0,,,,,0,IVMH,0,InitLoad
ivmh,No Repair,1,1,RecentScan,69.238875,,1.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,2,2,RecentScan,61.025291,,2.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,3,3,RecentScan,56.130583,,3.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,4,4,RecentScan,58.191708,,4.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,5,5,RecentScan,60.838,,5.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0012079999999999999,,6.0,,,,0,IVMH,0,
ivmh,No Repair,7,7,Update,0.171167,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,8,8,RecentScan,60.509541,,8.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,9,9,RecentScan,60.246417,,9.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,10,10,RecentScan,59.639791,,10.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,11,11,RecentScan,59.386125,,11.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,12,12,RecentScan,61.08375,,12.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,IVMH,0,
ivmh,No Repair,14,14,Update,0.27525,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,15,15,RecentScan,60.495583,,15.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,16,16,RecentScan,59.111958,,16.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,17,17,RecentScan,61.274417,,17.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,18,18,RecentScan,59.700542,,18.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,19,19,RecentScan,60.182291,,19.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,IVMH,0,
ivmh,No Repair,21,21,Update,0.126375,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,22,22,RecentScan,59.906292,,22.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,23,23,RecentScan,75.38175,,23.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,24,24,RecentScan,65.492125,,24.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,25,25,RecentScan,62.236,,25.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,26,26,RecentScan,63.571959,,26.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,27,27,MarkTs,0.002542,,27.0,,,,0,IVMH,0,
ivmh,No Repair,28,28,Update,0.27095800000000003,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,29,29,RecentScan,62.572542,,29.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,30,30,RecentScan,60.82325,,30.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,31,31,RecentScan,63.434916,,31.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,32,32,RecentScan,61.380958,,32.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,33,33,RecentScan,61.54825,,33.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,IVMH,0,
ivmh,No Repair,35,35,Update,0.26433300000000004,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,36,36,RecentScan,62.452041,,36.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,37,37,RecentScan,62.953833,,37.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,38,38,RecentScan,62.580917,,38.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,39,39,RecentScan,63.763667,,39.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,40,40,RecentScan,63.183291,,40.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,41,41,MarkTs,0.0,,41.0,,,,0,IVMH,0,
ivmh,No Repair,42,42,Update,0.17216599999999999,21.0,,,,,0,IVMH,0,Update
ivmh,No Repair,43,43,RecentScan,62.309375,,43.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,44,44,RecentScan,64.584542,,44.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,45,45,RecentScan,63.493,,45.0,,,,0,IVMH,0,RecentScan
