table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,table_label,history_scans,component
ivmh,No Repair,0,0,InitLoad,15.753125,60000.0,,,,,0,IVMH,0,InitLoad
ivmh,No Repair,1,1,RecentScan,20.434792,,1.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,2,2,RecentScan,19.91975,,2.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,3,3,RecentScan,20.562791,,3.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,4,4,RecentScan,21.726417,,4.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,5,5,RecentScan,19.754459,,5.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,6,6,MarkTs,0.00125,,6.0,,,,0,IVMH,0,
ivmh,No Repair,7,7,Update,0.018,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,8,8,RecentScan,18.690625,,8.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,9,9,RecentScan,17.43175,,9.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,10,10,RecentScan,17.2235,,10.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,11,11,RecentScan,17.195792,,11.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,12,12,RecentScan,16.830625,,12.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,13,13,MarkTs,0.0,,13.0,,,,0,IVMH,0,
ivmh,No Repair,14,14,Update,0.010833,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,15,15,RecentScan,17.175334,,15.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,16,16,RecentScan,17.155334,,16.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,17,17,RecentScan,17.209625,,17.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,18,18,RecentScan,17.407166,,18.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,19,19,RecentScan,16.959542,,19.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,20,20,MarkTs,0.0,,20.0,,,,0,IVMH,0,
ivmh,No Repair,21,21,Update,0.013875,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,22,22,RecentScan,17.455542,,22.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,23,23,RecentScan,17.832625,,23.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,24,24,RecentScan,17.063417,,24.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,25,25,RecentScan,18.19975,,25.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,26,26,RecentScan,18.407041,,26.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,27,27,MarkTs,0.001209,,27.0,,,,0,IVMH,0,
ivmh,No Repair,28,28,Update,0.014584,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,29,29,RecentScan,18.283833,,29.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,30,30,RecentScan,18.173583,,30.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,31,31,RecentScan,18.562,,31.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,32,32,RecentScan,18.366083,,32.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,33,33,RecentScan,18.650958,,33.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,IVMH,0,
ivmh,No Repair,35,35,Update,0.01025,6.0,,,,,0,IVMH,0,Update
ivmh,No Repair,36,36,RecentScan,18.567125,,36.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,37,37,RecentScan,18.716458,,37.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,38,38,RecentScan,18.354916,,38.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,39,39,RecentScan,18.425,,39.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,40,40,RecentScan,17.521709,,40.0,,,,0,IVMH,0,RecentScan
ivmh,No Repair,41,41,MarkTs,0.0,,41.0,,,,0,IVMH,0,
ivmh,No Repair,42,42,Update,0.016457999999999997,6.0,,,,,0,IVMH,0,Update
