history_scans,component,duration_ms
0,BuildCUR,0.9496562499999999
0,RecentScan,26.148944555555556
0,Update,0.0063090555555555565
1,BuildCUR,0.9041666666666666
1,BuildSnap,3.1721076666666668
1,HistoryScan,1.1263854444444443
1,RecentScan,23.173593722222222
1,Update,0.0047175555555555556
2,BuildCUR,0.8593229166666666
2,BuildSnap,6.206408555555556
2,HistoryScan,2.1325729722222224
2,RecentScan,22.15132416666667
2,Update,0.004865694444444444
3,BuildCUR,0.8123113333333334
3,BuildSnap,8.50838888888889
3,HistoryScan,3.164520861111111
3,RecentScan,20.49200927777778
3,Update,0.003659722222222222
4,BuildCUR,0.7876099722222222
4,BuildSnap,10.835206055555556
4,HistoryScan,4.118523194444445
4,RecentScan,19.550211722222222
4,Update,0.0036434722222222224
