table_label,history_scans,component,duration_ms
SNAP,0,BuildSnap,36.475127921985816
SNAP,0,InitLoad,0.006236404255319149
SNAP,0,RecentScan,13.153295560283688
SNAP,0,Update,0.0
SNAP,2,BuildSnap,37.83975326950355
SNAP,2,HistoryScan,0.2228091063829787
SNAP,2,InitLoad,0.0057204468085106375
SNAP,2,RecentScan,12.859750886524822
SNAP,2,Update,9.663120567375887e-05
SNAP,4,BuildSnap,35.208086290780145
SNAP,4,HistoryScan,0.4787151276595744
SNAP,4,InitLoad,0.005668737588652482
SNAP,4,RecentScan,11.710430283687943
SNAP,4,Update,0.0
SNAP,6,BuildSnap,38.78920125531915
SNAP,6,HistoryScan,0.7055803829787234
SNAP,6,InitLoad,0.005682035460992908
SNAP,6,RecentScan,12.678158085106384
SNAP,6,Update,0.0
SNAP,8,BuildSnap,37.8241625248227
SNAP,8,HistoryScan,0.9918569858156028
SNAP,8,InitLoad,0.006151595744680851
SNAP,8,RecentScan,11.587332716312057
SNAP,8,Update,0.0
SNAP,10,BuildSnap,34.95761022695035
SNAP,10,HistoryScan,1.2079080921985816
SNAP,10,InitLoad,0.0059666099290780145
SNAP,10,RecentScan,11.043952992907801
SNAP,10,Update,0.0
IVMH,0,InitLoad,0.10678782269503546
IVMH,0,RecentScan,11.210024886524822
IVMH,0,Update,0.0029831489361702127
IVMH,2,BuildSnap,0.6444804964539006
IVMH,2,HistoryScan,0.2075783120567376
IVMH,2,InitLoad,0.14271010638297874
IVMH,2,RecentScan,10.242313510638297
IVMH,2,Update,0.0023076170212765956
IVMH,4,BuildSnap,1.173921390070922
IVMH,4,HistoryScan,0.43270271631205676
IVMH,4,InitLoad,0.09013209219858155
IVMH,4,RecentScan,10.034843078014186
IVMH,4,Update,0.001908113475177305
IVMH,6,BuildSnap,1.7937062553191487
IVMH,6,HistoryScan,0.6841111134751773
IVMH,6,InitLoad,0.09199645390070922
IVMH,6,RecentScan,10.534899765957448
IVMH,6,Update,0.0018599432624113474
IVMH,8,BuildSnap,2.4427786737588653
IVMH,8,HistoryScan,0.8214739787234043
IVMH,8,InitLoad,0.0924887730496454
IVMH,8,RecentScan,9.36279784397163
IVMH,8,Update,0.0018862198581560284
IVMH,10,BuildSnap,3.263941787234043
IVMH,10,HistoryScan,1.0550632411347518
IVMH,10,InitLoad,0.10133008510638299
IVMH,10,RecentScan,9.58968290070922
IVMH,10,Update,0.0029923475177304963
MONO-WR,0,InitLoad,0.13500265957446808
MONO-WR,0,RecentScan,10.373289035460992
MONO-WR,0,Update,0.09921482978723405
MONO-WR,2,HistoryScan,0.19717346099290778
MONO-WR,2,InitLoad,0.12619887943262412
MONO-WR,2,RecentScan,9.889714865248228
MONO-WR,2,Update,0.0979063120567376
MONO-WR,4,HistoryScan,0.4137943333333333
MONO-WR,4,InitLoad,0.131071219858156
MONO-WR,4,RecentScan,9.64201035460993
MONO-WR,4,Update,0.08393558156028369
MONO-WR,6,HistoryScan,0.5954819716312056
