trial,idx,tx_id,tx_type,read_ts,from_ts,to_ts,build_reason,duration_ms
0,0,0,InitLoad,,,,,13.587625
0,1,1,BuildSnap,1.0,,,,0.0
0,2,2,Update,,,,,0.015458999999999999
0,3,3,BuildSnap,3.0,,,,0.0
0,4,4,RecentScan,4.0,,,,14.682291
0,5,5,Update,,,,,0.010542
0,6,6,RecentScan,6.0,,,,13.5505
0,7,7,Update,,,,,0.013458
0,8,8,BuildSnap,8.0,,,,0.0
0,9,9,RecentScan,9.0,,,,14.865209
0,10,10,Update,,,,,0.013041
0,11,11,RecentScan,11.0,,,,16.314667
0,12,12,RecentScan,12.0,,,,15.804416
0,13,13,Probe,13.0,,,,15.3985
0,14,14,GbgCollect,1.0,,,,0.0
0,15,15,Update,,,,,0.007958
0,16,16,BuildSnap,16.0,,,,0.0
0,17,17,Update,,,,,0.005125
0,18,18,Probe,18.0,,,,14.558208
0,19,19,RecentScan,19.0,,,,16.013875
0,20,20,RecentScan,20.0,,,,15.871541
0,21,21,RecentScan,21.0,,,,15.793375
0,22,22,Probe,22.0,,,,13.207625
0,23,23,Probe,23.0,,,,13.563125
0,24,24,Probe,24.0,,,,13.110166
0,25,25,RecentScan,25.0,,,,15.611958
0,26,26,Probe,26.0,,,,14.431
0,27,27,GbgCollect,3.0,,,,0.0
0,28,28,RecentScan,28.0,,,,15.136584
0,29,29,Update,,,,,0.011417
0,30,30,BuildSnap,30.0,,,,0.0
0,31,31,Probe,31.0,,,,15.017042
0,32,32,Probe,32.0,,,,13.274958
0,33,33,Update,,,,,0.006542
0,34,34,RecentScan,34.0,,,,15.269708
0,35,35,RecentScan,35.0,,,,15.3245
0,36,36,Update,,,,,0.009458
0,37,37,BuildSnap,37.0,,,,0.001292
0,38,38,GbgCollect,8.0,,,,0.0
0,39,39,Probe,39.0,,,,14.240625
0,40,40,Update,,,,,0.0075
0,41,41,RecentScan,41.0,,,,15.762084
0,42,42,Probe,42.0,,,,14.791625
0,43,43,Probe,43.0,,,,14.045625
0,44,44,Update,,,,,0.0069169999999999995
0,45,45,BuildSnap,45.0,,,,0.0
0,46,46,Probe,46.0,,,,14.01075
0,47,47,RecentScan,47.0,,,,15.243291
0,48,48,RecentScan,48.0,,,,15.755583
0,49,49,Probe,49.0,,,,14.121333
0,50,50,RecentScan,50.0,,,,13.38975
0,51,51,Update,,,,,0.011542
0,52,52,Update,,,,,0.008291
0,53,53,BuildSnap,53.0,,,,0.0
0,54,54,RecentScan,54.0,,,,14.357667
0,55,55,Update,,,,,0.012709
0,56,56,Probe,56.0,,,,14.95975
0,57,57,RecentScan,57.0,,,,15.129167
0,58,58,Probe,58.0,,,,14.8565
0,59,59,RecentScan,59.0,,,,14.348042
0,60,60,RecentScan,60.0,,,,13.586083
0,61,61,Probe,61.0,,,,16.388667
0,62,62,Probe,62.0,,,,14.41375
0,63,63,Probe,63.0,,,,14.772208
0,64,64,Probe,64.0,,,,14.214541
0,65,65,GbgCollect,16.0,,,,0.0
0,66,66,Probe,66.0,,,,13.979709
0,67,67,RecentScan,67.0,,,,14.773292
0,68,68,Probe,68.0,,,,14.5305
0,69,69,RecentScan,69.0,,,,14.51375
0,70,70,Probe,70.0,,,,14.690042
0,71,71,RecentScan,71.0,,,,15.146417
0,72,72,Probe,72.0,,,,14.299208
0,73,73,Probe,73.0,,,,13.404209
0,74,74,GbgCollect,30.0,,,,0.0
0,75,75,RecentScan,75.0,,,,14.595167
0,76,76,RecentScan,76.0,,,,14.681584
0,77,77,RecentScan,77.0,,,,14.026875
0,78,78,RecentScan,78.0,,,,14.149666
0,79,79,Probe,79.0,,,,14.635291
0,80,80,Update,,,,,0.006333999999999999
0,81,81,BuildSnap,81.0,,,,0.0
0,82,82,Update,,,,,0.003625
0,83,83,RecentScan,83.0,,,,14.132375
0,84,84,RecentScan,84.0,,,,14.35625
0,85,85,Probe,85.0,,,,14.063375
0,86,86,RecentScan,86.0,,,,14.230958
0,87,87,Probe,87.0,,,,14.474083
0,88,88,Probe,88.0,,,,14.837292
0,89,89,RecentScan,89.0,,,,14.484125
0,90,90,Update,,,,,0.010584
0,91,91,BuildSnap,91.0,,,,0.0
0,92,92,Probe,92.0,,,,14.272542
0,93,93,RecentScan,93.0,,,,14.260292
0,94,94,Update,,,,,0.012
0,95,95,RecentScan,95.0,,,,14.872208
0,96,96,Probe,96.0,,,,15.5265
0,97,97,Probe,97.0,,,,13.766459
0,98,98,RecentScan,98.0,,,,15.014417
0,99,99,Probe,99.0,,,,14.491334
0,100,100,RecentScan,100.0,,,,14.527958
0,101,101,Probe,101.0,,,,15.184709
0,102,102,RecentScan,102.0,,,,15.175583
0,103,103,Update,,,,,0.009375
0,104,104,BuildSnap,104.0,,,,0.0
0,105,105,Probe,105.0,,,,15.232625
0,106,106,Update,,,,,0.0075
0,107,107,Probe,107.0,,,,12.924583
0,108,108,Update,,,,,0.0069169999999999995
0,109,109,BuildSnap,109.0,,,,0.0
0,110,110,Probe,110.0,,,,14.414541
0,111,111,RecentScan,111.0,,,,14.680125
0,112,112,Probe,112.0,,,,14.929875
0,113,113,RecentScan,113.0,,,,14.611375
0,114,114,RecentScan,114.0,,,,14.674083
0,115,115,Probe,115.0,,,,15.482167
0,116,116,RecentScan,116.0,,,,15.238542
