trial,idx,tx_id,tx_type_raw,tx_type,read_ts,from_ts,to_ts,build_reason,is_untimed_prime,is_actual_build,duration_ms
0,0,0,InitLoad,InitLoad,,,,,False,False,13.702917
0,1,1,MarkTs,BuildSnap,1.0,,,,False,False,0.0
0,2,2,Update,Update,,,,,False,False,0.015791
0,3,3,MarkTs,BuildSnap,3.0,,,,False,False,0.0
0,4,4,RecentScan,RecentScan,4.0,,,,False,False,16.981083
0,5,5,Update,Update,,,,,False,False,0.013667
0,6,6,RecentScan,RecentScan,6.0,,,,False,False,15.853708
0,7,7,MarkTs,BuildSnap,1.0,,,HistoryScan,True,False,45.944333
0,7,7,HistoryScan,HistoryScan,1.0,,,,True,False,15.391333
0,8,8,Update,Update,,,,,False,False,0.022208
0,9,9,MarkTs,BuildSnap,9.0,,,,False,False,0.0
0,10,10,RecentScan,RecentScan,10.0,,,,False,False,14.746625
0,11,11,Update,Update,,,,,False,False,0.012375
0,12,12,RecentScan,RecentScan,12.0,,,,False,False,14.509917
0,13,13,RecentScan,RecentScan,13.0,,,,False,False,14.539958
0,14,14,Probe,Probe,14.0,,,,False,False,16.238
0,15,15,GbgCollect,GbgCollect,1.0,,,,False,False,0.1025
0,16,16,Update,Update,,,,,False,False,0.008417
0,17,17,MarkTs,BuildSnap,17.0,,,,False,False,0.0
0,18,18,Update,Update,,,,,False,False,0.005167
0,19,19,Probe,Probe,19.0,,,,False,False,14.995834
0,20,20,RecentScan,RecentScan,20.0,,,,False,False,15.307667
0,21,21,RecentScan,RecentScan,21.0,,,,False,False,15.105083
0,22,22,RecentScan,RecentScan,22.0,,,,False,False,15.9715
0,23,23,Probe,Probe,23.0,,,,False,False,13.36375
0,24,24,Probe,Probe,24.0,,,,False,False,13.852
0,25,25,Probe,Probe,25.0,,,,False,False,14.01125
0,26,26,RecentScan,RecentScan,26.0,,,,False,False,16.727542
0,27,27,Probe,Probe,27.0,,,,False,False,14.412333
0,28,28,GbgCollect,GbgCollect,3.0,,,,False,False,0.0
0,29,29,RecentScan,RecentScan,29.0,,,,False,False,14.460584
0,30,30,Update,Update,,,,,False,False,0.010709
0,31,31,MarkTs,BuildSnap,31.0,,,,False,False,0.0
0,32,32,Probe,Probe,32.0,,,,False,False,16.132417
0,33,33,Probe,Probe,33.0,,,,False,False,14.313042
0,34,34,Update,Update,,,,,False,False,0.007584
0,35,35,RecentScan,RecentScan,35.0,,,,False,False,16.161792
0,36,36,RecentScan,RecentScan,36.0,,,,False,False,14.903625
0,37,37,Update,Update,,,,,False,False,0.009958999999999999
0,38,38,MarkTs,BuildSnap,38.0,,,,False,False,0.001292
0,39,39,GbgCollect,GbgCollect,9.0,,,,False,False,0.0
0,40,40,Probe,Probe,40.0,,,,False,False,14.535333
0,41,41,Update,Update,,,,,False,False,0.006375
0,42,42,RecentScan,RecentScan,42.0,,,,False,False,14.51
0,43,43,Probe,Probe,43.0,,,,False,False,14.330875
0,44,44,Probe,Probe,44.0,,,,False,False,13.748583
0,45,45,Update,Update,,,,,False,False,0.006667
0,46,46,MarkTs,BuildSnap,46.0,,,,False,False,0.0
0,47,47,Probe,Probe,47.0,,,,False,False,13.534584
0,48,48,RecentScan,RecentScan,48.0,,,,False,False,14.773291
0,49,49,RecentScan,RecentScan,49.0,,,,False,False,15.579875
0,50,50,Probe,Probe,50.0,,,,False,False,13.904333
0,51,51,RecentScan,RecentScan,51.0,,,,False,False,14.751292
0,52,52,Update,Update,,,,,False,False,0.0125
0,53,53,Update,Update,,,,,False,False,0.010542
0,54,54,MarkTs,BuildSnap,54.0,,,,False,False,0.0
0,55,55,RecentScan,RecentScan,55.0,,,,False,False,14.57575
0,56,56,Update,Update,,,,,False,False,0.014625
0,57,57,Probe,Probe,57.0,,,,False,False,15.052
0,58,58,RecentScan,RecentScan,58.0,,,,False,False,13.567708
0,59,59,Probe,Probe,59.0,,,,False,False,14.186584
0,60,60,RecentScan,RecentScan,60.0,,,,False,False,15.665292
0,61,61,RecentScan,RecentScan,61.0,,,,False,False,14.486875
0,62,62,Probe,Probe,62.0,,,,False,False,15.717541
0,63,63,Probe,Probe,63.0,,,,False,False,14.365083
0,64,64,Probe,Probe,64.0,,,,False,False,13.615375
0,65,65,Probe,Probe,65.0,,,,False,False,14.999958
0,66,66,GbgCollect,GbgCollect,17.0,,,,False,False,0.0
0,67,67,Probe,Probe,67.0,,,,False,False,14.851958
0,68,68,RecentScan,RecentScan,68.0,,,,False,False,14.274334
0,69,69,Probe,Probe,69.0,,,,False,False,14.005417
0,70,70,RecentScan,RecentScan,70.0,,,,False,False,15.690458
0,71,71,Probe,Probe,71.0,,,,False,False,14.730125
0,72,72,RecentScan,RecentScan,72.0,,,,False,False,14.439
0,73,73,Probe,Probe,73.0,,,,False,False,14.663875
0,74,74,Probe,Probe,74.0,,,,False,False,13.716292
0,75,75,GbgCollect,GbgCollect,31.0,,,,False,False,0.0
0,76,76,RecentScan,RecentScan,76.0,,,,False,False,13.915458
0,77,77,RecentScan,RecentScan,77.0,,,,False,False,14.054792
