table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,tx_type_raw,is_untimed_prime,is_actual_build,trial,case
naive,No Repair,0,0,InitLoad,2.76525,210000.0,,,,,InitLoad,False,False,0,history0
naive,No Repair,1,1,BuildSnap,0.0,,1.0,,,,MarkTs,False,False,0,history0
naive,No Repair,2,2,Update,0.0,21.0,,,,,Update,False,False,0,history0
naive,No Repair,3,3,BuildSnap,0.0,,3.0,,,,MarkTs,False,False,0,history0
naive,No Repair,4,4,BuildSnap,156.629167,,4.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,4,4,RecentScan,55.779084,,4.0,,,,RecentScan,False,False,0,history0
naive,No Repair,5,5,Update,0.0,21.0,,,,,Update,False,False,0,history0
naive,No Repair,6,6,BuildSnap,158.143833,,6.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,6,6,RecentScan,62.046334,,6.0,,,,RecentScan,False,False,0,history0
naive,No Repair,7,7,BuildSnap,158.882417,,1.0,,,HistoryScan,MarkTs,True,False,0,history0
naive,No Repair,7,7,HistoryScan,56.547084,,1.0,,,,HistoryScan,True,False,0,history0
naive,No Repair,8,8,Update,0.0,21.0,,,,,Update,False,False,0,history0
naive,No Repair,9,9,BuildSnap,0.0,,9.0,,,,MarkTs,False,False,0,history0
naive,No Repair,10,10,BuildSnap,156.884792,,10.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,10,10,RecentScan,59.325,,10.0,,,,RecentScan,False,False,0,history0
naive,No Repair,11,11,Update,0.0,21.0,,,,,Update,False,False,0,history0
naive,No Repair,12,12,BuildSnap,162.906958,,12.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,12,12,RecentScan,65.873084,,12.0,,,,RecentScan,False,False,0,history0
naive,No Repair,13,13,BuildSnap,172.074459,,13.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,13,13,RecentScan,60.820042,,13.0,,,,RecentScan,False,False,0,history0
naive,No Repair,14,14,BuildSnap,168.779292,,14.0,,,Probe,MarkTs,False,True,0,history0
naive,No Repair,14,14,Probe,256.634125,2100.0,14.0,,,,Probe,False,False,0,history0
naive,No Repair,15,15,GbgCollect,0.08533400000000001,,1.0,,,,GbgCollect,False,False,0,history0
naive,No Repair,16,16,Update,0.0,21.0,,,,,Update,False,False,0,history0
naive,No Repair,17,17,BuildSnap,0.0,,17.0,,,,MarkTs,False,False,0,history0
naive,No Repair,18,18,Update,0.0,21.0,,,,,Update,False,False,0,history0
naive,No Repair,19,19,BuildSnap,171.819083,,19.0,,,Probe,MarkTs,False,True,0,history0
naive,No Repair,19,19,Probe,238.263708,2100.0,19.0,,,,Probe,False,False,0,history0
naive,No Repair,20,20,BuildSnap,160.364625,,20.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,20,20,RecentScan,61.047666,,20.0,,,,RecentScan,False,False,0,history0
naive,No Repair,21,21,BuildSnap,161.156625,,21.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,21,21,RecentScan,62.722083,,21.0,,,,RecentScan,False,False,0,history0
naive,No Repair,22,22,BuildSnap,169.766959,,22.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,22,22,RecentScan,61.543708,,22.0,,,,RecentScan,False,False,0,history0
naive,No Repair,23,23,BuildSnap,162.23375,,23.0,,,Probe,MarkTs,False,True,0,history0
naive,No Repair,23,23,Probe,238.063417,2100.0,23.0,,,,Probe,False,False,0,history0
naive,No Repair,24,24,BuildSnap,168.908917,,24.0,,,Probe,MarkTs,False,True,0,history0
naive,No Repair,24,24,Probe,226.921,2100.0,24.0,,,,Probe,False,False,0,history0
naive,No Repair,25,25,BuildSnap,164.016333,,25.0,,,Probe,MarkTs,False,True,0,history0
naive,No Repair,25,25,Probe,234.690084,2100.0,25.0,,,,Probe,False,False,0,history0
naive,No Repair,26,26,BuildSnap,163.70675,,26.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,26,26,RecentScan,63.664959,,26.0,,,,RecentScan,False,False,0,history0
naive,No Repair,27,27,BuildSnap,171.383375,,27.0,,,Probe,MarkTs,False,True,0,history0
naive,No Repair,27,27,Probe,253.46225,2100.0,27.0,,,,Probe,False,False,0,history0
naive,No Repair,28,28,GbgCollect,0.0,,3.0,,,,GbgCollect,False,False,0,history0
naive,No Repair,29,29,BuildSnap,179.365708,,29.0,,,RecentScan,MarkTs,False,True,0,history0
naive,No Repair,29,29,RecentScan,66.306542,,29.0,,,,RecentScan,False,False,0,history0
naive,No Repair,30,30,Update,0.0,21.0,,,,,Update,False,False,0,history0
