trial,idx,tx_id,tx_type_raw,tx_type,read_ts,from_ts,to_ts,build_reason,is_untimed_prime,is_actual_build,duration_ms
0,0,0,InitLoad,InitLoad,,,,,False,False,13.89675
0,1,1,MarkTs,BuildSnap,1.0,,,,False,False,0.001042
0,2,2,Update,Update,,,,,False,False,0.016625
0,3,3,MarkTs,BuildSnap,3.0,,,,False,False,0.0
0,4,4,RecentScan,RecentScan,4.0,,,,False,False,14.103167
0,5,5,Update,Update,,,,,False,False,0.010375
0,6,6,RecentScan,RecentScan,6.0,,,,False,False,14.479375
0,7,7,MarkTs,BuildSnap,1.0,,,HistoryScan,True,False,48.081209
0,7,7,HistoryScan,HistoryScan,1.0,,,,True,False,16.804125
0,8,8,Update,Update,,,,,False,False,0.022041
0,9,9,MarkTs,BuildSnap,9.0,,,,False,False,0.0
0,10,10,MarkTs,BuildSnap,3.0,,,HistoryScan,False,True,46.28575
0,10,10,HistoryScan,HistoryScan,3.0,,,,False,False,14.738583
0,11,11,Update,Update,,,,,False,False,0.022917
0,12,12,RecentScan,RecentScan,12.0,,,,False,False,15.414834
0,13,13,RecentScan,RecentScan,13.0,,,,False,False,36.951667
0,14,14,Probe,Probe,14.0,,,,False,False,16.082041
0,15,15,GbgCollect,GbgCollect,1.0,,,,False,False,0.098167
0,16,16,Update,Update,,,,,False,False,0.008667
0,17,17,MarkTs,BuildSnap,17.0,,,,False,False,0.0
0,18,18,Update,Update,,,,,False,False,0.005708
0,19,19,Probe,Probe,19.0,,,,False,False,14.184125
0,20,20,RecentScan,RecentScan,20.0,,,,False,False,16.652834
0,21,21,RecentScan,RecentScan,21.0,,,,False,False,15.119375
0,22,22,RecentScan,RecentScan,22.0,,,,False,False,16.013167
0,23,23,Probe,Probe,23.0,,,,False,False,13.720291
0,24,24,Probe,Probe,24.0,,,,False,False,13.837291
0,25,25,Probe,Probe,25.0,,,,False,False,13.338083
0,26,26,RecentScan,RecentScan,26.0,,,,False,False,15.612625
0,27,27,Probe,Probe,27.0,,,,False,False,14.517542
0,28,28,GbgCollect,GbgCollect,3.0,,,,False,False,0.097042
0,29,29,RecentScan,RecentScan,29.0,,,,False,False,15.16875
0,30,30,Update,Update,,,,,False,False,0.010375
0,31,31,MarkTs,BuildSnap,31.0,,,,False,False,0.0
0,32,32,Probe,Probe,32.0,,,,False,False,15.334667
0,33,33,Probe,Probe,33.0,,,,False,False,13.833625
0,34,34,Update,Update,,,,,False,False,0.006583
0,35,35,RecentScan,RecentScan,35.0,,,,False,False,14.943916
0,36,36,RecentScan,RecentScan,36.0,,,,False,False,14.017167
0,37,37,Update,Update,,,,,False,False,0.0115
0,38,38,MarkTs,BuildSnap,38.0,,,,False,False,0.0
0,39,39,GbgCollect,GbgCollect,9.0,,,,False,False,0.0
0,40,40,Probe,Probe,40.0,,,,False,False,14.761584
0,41,41,Update,Update,,,,,False,False,0.007333
0,42,42,RecentScan,RecentScan,42.0,,,,False,False,15.967083
0,43,43,Probe,Probe,43.0,,,,False,False,15.18175
0,44,44,Probe,Probe,44.0,,,,False,False,14.395458
0,45,45,Update,Update,,,,,False,False,0.007916000000000001
0,46,46,MarkTs,BuildSnap,46.0,,,,False,False,0.0
0,47,47,Probe,Probe,47.0,,,,False,False,14.811916
0,48,48,RecentScan,RecentScan,48.0,,,,False,False,15.525125
0,49,49,RecentScan,RecentScan,49.0,,,,False,False,14.779042
0,50,50,Probe,Probe,50.0,,,,False,False,14.204208
0,51,51,RecentScan,RecentScan,51.0,,,,False,False,14.711334
0,52,52,Update,Update,,,,,False,False,0.012916
0,53,53,Update,Update,,,,,False,False,0.009666000000000001
0,54,54,MarkTs,BuildSnap,54.0,,,,False,False,0.0
0,55,55,RecentScan,RecentScan,55.0,,,,False,False,14.629541
0,56,56,Update,Update,,,,,False,False,0.015792
0,57,57,Probe,Probe,57.0,,,,False,False,14.681209
0,58,58,RecentScan,RecentScan,58.0,,,,False,False,15.261125
0,59,59,Probe,Probe,59.0,,,,False,False,14.779541
0,60,60,RecentScan,RecentScan,60.0,,,,False,False,15.636167
0,61,61,RecentScan,RecentScan,61.0,,,,False,False,14.844875
0,62,62,Probe,Probe,62.0,,,,False,False,15.7255
0,63,63,Probe,Probe,63.0,,,,False,False,13.900083
0,64,64,Probe,Probe,64.0,,,,False,False,14.780333
0,65,65,Probe,Probe,65.0,,,,False,False,14.294375
0,66,66,GbgCollect,GbgCollect,17.0,,,,False,False,0.0
0,67,67,Probe,Probe,67.0,,,,False,False,14.381083
0,68,68,RecentScan,RecentScan,68.0,,,,False,False,15.796208
0,69,69,Probe,Probe,69.0,,,,False,False,14.096084
0,70,70,RecentScan,RecentScan,70.0,,,,False,False,15.37975
0,71,71,Probe,Probe,71.0,,,,False,False,14.796417
0,72,72,RecentScan,RecentScan,72.0,,,,False,False,15.316292
0,73,73,Probe,Probe,73.0,,,,False,False,14.848834
0,74,74,Probe,Probe,74.0,,,,False,False,13.493125
0,75,75,GbgCollect,GbgCollect,31.0,,,,False,False,0.0
0,76,76,RecentScan,RecentScan,76.0,,,,False,False,13.4845
0,77,77,RecentScan,RecentScan,77.0,,,,False,False,14.786625
0,78,78,RecentScan,RecentScan,78.0,,,,False,False,15.445208
0,79,79,RecentScan,RecentScan,79.0,,,,False,False,15.436
0,80,80,Probe,Probe,80.0,,,,False,False,15.338666
0,81,81,Update,Update,,,,,False,False,0.007333999999999999
0,82,82,MarkTs,BuildSnap,82.0,,,,False,False,0.0
0,83,83,Update,Update,,,,,False,False,0.0036669999999999997
0,84,84,RecentScan,RecentScan,84.0,,,,False,False,17.41925
0,85,85,RecentScan,RecentScan,85.0,,,,False,False,17.526167
0,86,86,Probe,Probe,86.0,,,,False,False,13.986708
0,87,87,RecentScan,RecentScan,87.0,,,,False,False,15.402125
0,88,88,Probe,Probe,88.0,,,,False,False,14.46825
0,89,89,Probe,Probe,89.0,,,,False,False,15.368042
0,90,90,RecentScan,RecentScan,90.0,,,,False,False,15.695416
0,91,91,Update,Update,,,,,False,False,0.014625
0,92,92,MarkTs,BuildSnap,92.0,,,,False,False,0.0
0,93,93,Probe,Probe,93.0,,,,False,False,14.896
0,94,94,RecentScan,RecentScan,94.0,,,,False,False,15.156875
0,95,95,Update,Update,,,,,False,False,0.013042
0,96,96,RecentScan,RecentScan,96.0,,,,False,False,15.789459
0,97,97,Probe,Probe,97.0,,,,False,False,15.996083
0,98,98,Probe,Probe,98.0,,,,False,False,13.687208
0,99,99,RecentScan,RecentScan,99.0,,,,False,False,15.7735
0,100,100,Probe,Probe,100.0,,,,False,False,15.164333
0,101,101,RecentScan,RecentScan,101.0,,,,False,False,15.3135
0,102,102,Probe,Probe,102.0,,,,False,False,14.91825
0,103,103,RecentScan,RecentScan,103.0,,,,False,False,15.330083
0,104,104,Update,Update,,,,,False,False,0.009583
0,105,105,MarkTs,BuildSnap,105.0,,,,False,False,0.0
0,106,106,Probe,Probe,106.0,,,,False,False,15.148333
0,107,107,Update,Update,,,,,False,False,0.008084
0,108,108,Probe,Probe,108.0,,,,False,False,13.345
0,109,109,Update,Update,,,,,False,False,0.007833
0,110,110,MarkTs,BuildSnap,110.0,,,,False,False,0.0
0,111,111,Probe,Probe,111.0,,,,False,False,14.669708
0,112,112,RecentScan,RecentScan,112.0,,,,False,False,16.001417
0,113,113,Probe,Probe,113.0,,,,False,False,14.878083
0,114,114,RecentScan,RecentScan,114.0,,,,False,False,15.372417
0,115,115,RecentScan,RecentScan,115.0,,,,False,False,14.995709
0,116,116,Probe,Probe,116.0,,,,False,False,15.329417
0,117,117,RecentScan,RecentScan,117.0,,,,False,False,14.958375
