table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,case
naive,No Repair,0,0,InitLoad,0.809917,60000.0,,,,,0,history1
naive,No Repair,1,1,BuildSnap,0.0,,1.0,,,,0,history1
naive,No Repair,2,2,Update,0.0,6.0,,,,,0,history1
naive,No Repair,3,3,BuildSnap,0.0,,3.0,,,,0,history1
naive,No Repair,4,4,BuildSnap,47.16725,,4.0,,,RecentScan,0,history1
naive,No Repair,4,4,RecentScan,13.595625,,4.0,,,,0,history1
naive,No Repair,5,5,Update,0.0,6.0,,,,,0,history1
naive,No Repair,6,6,BuildSnap,64.753083,,6.0,,,RecentScan,0,history1
naive,No Repair,6,6,RecentScan,18.394458,,6.0,,,,0,history1
naive,No Repair,7,7,Update,0.0,6.0,,,,,0,history1
naive,No Repair,8,8,BuildSnap,0.0,,8.0,,,,0,history1
naive,No Repair,9,9,BuildSnap,53.916375,,1.0,,,HistoryScan,0,history1
naive,No Repair,9,9,HistoryScan,16.037708,,1.0,,,,0,history1
naive,No Repair,10,10,Update,0.0,6.0,,,,,0,history1
naive,No Repair,11,11,BuildSnap,49.389958,,11.0,,,RecentScan,0,history1
naive,No Repair,11,11,RecentScan,17.874458,,11.0,,,,0,history1
naive,No Repair,12,12,BuildSnap,50.79025,,12.0,,,RecentScan,0,history1
naive,No Repair,12,12,RecentScan,18.081958,,12.0,,,,0,history1
naive,No Repair,13,13,BuildSnap,46.766625,,13.0,,,Probe,0,history1
naive,No Repair,13,13,Probe,16.270709,600.0,13.0,,,,0,history1
naive,No Repair,14,14,GbgCollect,0.10083400000000001,,1.0,,,,0,history1
naive,No Repair,15,15,Update,0.0,6.0,,,,,0,history1
naive,No Repair,16,16,BuildSnap,0.0,,16.0,,,,0,history1
naive,No Repair,17,17,Update,0.0,6.0,,,,,0,history1
naive,No Repair,18,18,BuildSnap,52.475542,,18.0,,,Probe,0,history1
naive,No Repair,18,18,Probe,15.472125,600.0,18.0,,,,0,history1
naive,No Repair,19,19,BuildSnap,50.171458,,19.0,,,RecentScan,0,history1
naive,No Repair,19,19,RecentScan,18.123708,,19.0,,,,0,history1
naive,No Repair,20,20,BuildSnap,48.707542,,20.0,,,RecentScan,0,history1
naive,No Repair,20,20,RecentScan,17.932459,,20.0,,,,0,history1
naive,No Repair,21,21,BuildSnap,50.132292,,21.0,,,RecentScan,0,history1
naive,No Repair,21,21,RecentScan,17.934666,,21.0,,,,0,history1
naive,No Repair,22,22,BuildSnap,50.791,,22.0,,,Probe,0,history1
naive,No Repair,22,22,Probe,14.827125,600.0,22.0,,,,0,history1
naive,No Repair,23,23,BuildSnap,48.656958,,23.0,,,Probe,0,history1
naive,No Repair,23,23,Probe,16.395708,600.0,23.0,,,,0,history1
naive,No Repair,24,24,BuildSnap,49.89075,,24.0,,,Probe,0,history1
naive,No Repair,24,24,Probe,15.672209,600.0,24.0,,,,0,history1
naive,No Repair,25,25,BuildSnap,49.00475,,25.0,,,RecentScan,0,history1
naive,No Repair,25,25,RecentScan,16.650917,,25.0,,,,0,history1
naive,No Repair,26,26,BuildSnap,50.605875,,26.0,,,Probe,0,history1
naive,No Repair,26,26,Probe,16.479875,600.0,26.0,,,,0,history1
naive,No Repair,27,27,GbgCollect,0.0,,3.0,,,,0,history1
naive,No Repair,28,28,BuildSnap,47.384542,,28.0,,,RecentScan,0,history1
naive,No Repair,28,28,RecentScan,17.995459,,28.0,,,,0,history1
naive,No Repair,29,29,Update,0.0,6.0,,,,,0,history1
naive,No Repair,30,30,BuildSnap,0.0,,30.0,,,,0,history1
naive,No Repair,31,31,BuildSnap,52.16875,,31.0,,,Probe,0,history1
naive,No Repair,31,31,Probe,16.982917,600.0,31.0,,,,0,history1
naive,No Repair,32,32,BuildSnap,54.336709,,32.0,,,Probe,0,history1
naive,No Repair,32,32,Probe,15.752209,600.0,32.0,,,,0,history1
naive,No Repair,33,33,Update,0.0,6.0,,,,,0,history1
naive,No Repair,34,34,BuildSnap,50.075375,,34.0,,,RecentScan,0,history1
naive,No Repair,34,34,RecentScan,18.524667,,34.0,,,,0,history1
naive,No Repair,35,35,BuildSnap,50.581625,,35.0,,,RecentScan,0,history1
naive,No Repair,35,35,RecentScan,18.80225,,35.0,,,,0,history1
naive,No Repair,36,36,Update,0.0,6.0,,,,,0,history1
naive,No Repair,37,37,BuildSnap,0.0,,37.0,,,,0,history1
naive,No Repair,38,38,GbgCollect,0.173083,,8.0,,,,0,history1
naive,No Repair,39,39,BuildSnap,50.726584,,39.0,,,Probe,0,history1
naive,No Repair,39,39,Probe,16.352375,600.0,39.0,,,,0,history1
naive,No Repair,40,40,Update,0.0,6.0,,,,,0,history1
naive,No Repair,41,41,BuildSnap,49.373,,41.0,,,RecentScan,0,history1
naive,No Repair,41,41,RecentScan,18.821291,,41.0,,,,0,history1
naive,No Repair,42,42,BuildSnap,50.24125,,42.0,,,Probe,0,history1
naive,No Repair,42,42,Probe,16.383,600.0,42.0,,,,0,history1
naive,No Repair,43,43,BuildSnap,48.175667,,43.0,,,Probe,0,history1
naive,No Repair,43,43,Probe,16.113125,600.0,43.0,,,,0,history1
naive,No Repair,44,44,Update,0.0,6.0,,,,,0,history1
naive,No Repair,45,45,BuildSnap,0.0,,45.0,,,,0,history1
