table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,case
naive,No Repair,0,0,InitLoad,0.861875,60000.0,,,,,1,history0
naive,No Repair,1,1,BuildSnap,0.0,,1.0,,,,1,history0
naive,No Repair,2,2,Update,0.0,6.0,,,,,1,history0
naive,No Repair,3,3,BuildSnap,0.0,,3.0,,,,1,history0
naive,No Repair,4,4,BuildSnap,51.685416,,4.0,,,RecentScan,1,history0
naive,No Repair,4,4,RecentScan,17.143416,,4.0,,,,1,history0
naive,No Repair,5,5,Update,0.0,6.0,,,,,1,history0
naive,No Repair,6,6,BuildSnap,51.055833,,6.0,,,RecentScan,1,history0
naive,No Repair,6,6,RecentScan,17.5565,,6.0,,,,1,history0
naive,No Repair,7,7,Update,0.0,6.0,,,,,1,history0
naive,No Repair,8,8,BuildSnap,0.0,,8.0,,,,1,history0
naive,No Repair,9,9,BuildSnap,51.181916,,9.0,,,RecentScan,1,history0
naive,No Repair,9,9,RecentScan,14.116458,,9.0,,,,1,history0
naive,No Repair,10,10,Update,0.0,6.0,,,,,1,history0
naive,No Repair,11,11,BuildSnap,50.433708,,11.0,,,RecentScan,1,history0
naive,No Repair,11,11,RecentScan,15.879083,,11.0,,,,1,history0
naive,No Repair,12,12,BuildSnap,51.212875,,12.0,,,RecentScan,1,history0
naive,No Repair,12,12,RecentScan,16.652333,,12.0,,,,1,history0
naive,No Repair,13,13,BuildSnap,53.381,,13.0,,,Probe,1,history0
naive,No Repair,13,13,Probe,18.235041,600.0,13.0,,,,1,history0
naive,No Repair,14,14,GbgCollect,0.0,,1.0,,,,1,history0
naive,No Repair,15,15,Update,0.0,6.0,,,,,1,history0
naive,No Repair,16,16,BuildSnap,0.0,,16.0,,,,1,history0
naive,No Repair,17,17,Update,0.0,6.0,,,,,1,history0
naive,No Repair,18,18,BuildSnap,49.922125,,18.0,,,Probe,1,history0
naive,No Repair,18,18,Probe,17.225,600.0,18.0,,,,1,history0
naive,No Repair,19,19,BuildSnap,54.49675,,19.0,,,RecentScan,1,history0
naive,No Repair,19,19,RecentScan,15.837292,,19.0,,,,1,history0
naive,No Repair,20,20,BuildSnap,54.210542,,20.0,,,RecentScan,1,history0
naive,No Repair,20,20,RecentScan,18.275166,,20.0,,,,1,history0
naive,No Repair,21,21,BuildSnap,52.595375,,21.0,,,RecentScan,1,history0
naive,No Repair,21,21,RecentScan,17.081334,,21.0,,,,1,history0
naive,No Repair,22,22,BuildSnap,52.308084,,22.0,,,Probe,1,history0
naive,No Repair,22,22,Probe,15.182083,600.0,22.0,,,,1,history0
naive,No Repair,23,23,BuildSnap,50.714083,,23.0,,,Probe,1,history0
naive,No Repair,23,23,Probe,16.142458,600.0,23.0,,,,1,history0
naive,No Repair,24,24,BuildSnap,52.245667,,24.0,,,Probe,1,history0
naive,No Repair,24,24,Probe,15.957,600.0,24.0,,,,1,history0
naive,No Repair,25,25,BuildSnap,51.023584,,25.0,,,RecentScan,1,history0
naive,No Repair,25,25,RecentScan,19.318042,,25.0,,,,1,history0
naive,No Repair,26,26,BuildSnap,52.30725,,26.0,,,Probe,1,history0
naive,No Repair,26,26,Probe,17.059459,600.0,26.0,,,,1,history0
naive,No Repair,27,27,GbgCollect,0.0,,3.0,,,,1,history0
naive,No Repair,28,28,BuildSnap,53.810334,,28.0,,,RecentScan,1,history0
naive,No Repair,28,28,RecentScan,17.7885,,28.0,,,,1,history0
naive,No Repair,29,29,Update,0.0,6.0,,,,,1,history0
naive,No Repair,30,30,BuildSnap,0.0,,30.0,,,,1,history0
naive,No Repair,31,31,BuildSnap,55.336333,,31.0,,,Probe,1,history0
naive,No Repair,31,31,Probe,18.285042,600.0,31.0,,,,1,history0
naive,No Repair,32,32,BuildSnap,55.605667,,32.0,,,Probe,1,history0
naive,No Repair,32,32,Probe,16.88175,600.0,32.0,,,,1,history0
naive,No Repair,33,33,Update,0.0,6.0,,,,,1,history0
naive,No Repair,34,34,BuildSnap,55.077291,,34.0,,,RecentScan,1,history0
naive,No Repair,34,34,RecentScan,19.59,,34.0,,,,1,history0
naive,No Repair,35,35,BuildSnap,52.514666,,35.0,,,RecentScan,1,history0
naive,No Repair,35,35,RecentScan,18.641208,,35.0,,,,1,history0
naive,No Repair,36,36,Update,0.0,6.0,,,,,1,history0
naive,No Repair,37,37,BuildSnap,0.0,,37.0,,,,1,history0
naive,No Repair,38,38,GbgCollect,0.245,,8.0,,,,1,history0
naive,No Repair,39,39,BuildSnap,55.100792,,39.0,,,Probe,1,history0
naive,No Repair,39,39,Probe,18.191542,600.0,39.0,,,,1,history0
naive,No Repair,40,40,Update,0.0,6.0,,,,,1,history0
naive,No Repair,41,41,BuildSnap,51.721292,,41.0,,,RecentScan,1,history0
naive,No Repair,41,41,RecentScan,20.971625,,41.0,,,,1,history0
naive,No Repair,42,42,BuildSnap,55.53775,,42.0,,,Probe,1,history0
naive,No Repair,42,42,Probe,17.619875,600.0,42.0,,,,1,history0
naive,No Repair,43,43,BuildSnap,50.786125,,43.0,,,Probe,1,history0
naive,No Repair,43,43,Probe,17.634666,600.0,43.0,,,,1,history0
naive,No Repair,44,44,Update,0.0,6.0,,,,,1,history0
naive,No Repair,45,45,BuildSnap,0.0,,45.0,,,,1,history0
naive,No Repair,46,46,BuildSnap,53.858167,,46.0,,,Probe,1,history0
naive,No Repair,46,46,Probe,17.562667,600.0,46.0,,,,1,history0
naive,No Repair,47,47,BuildSnap,52.439583,,47.0,,,RecentScan,1,history0
naive,No Repair,47,47,RecentScan,20.638958,,47.0,,,,1,history0
naive,No Repair,48,48,BuildSnap,53.069208,,48.0,,,RecentScan,1,history0
naive,No Repair,48,48,RecentScan,19.2645,,48.0,,,,1,history0
naive,No Repair,49,49,BuildSnap,51.355875,,49.0,,,Probe,1,history0
naive,No Repair,49,49,Probe,16.898417,600.0,49.0,,,,1,history0
naive,No Repair,50,50,BuildSnap,54.225209,,50.0,,,RecentScan,1,history0
naive,No Repair,50,50,RecentScan,18.82,,50.0,,,,1,history0
naive,No Repair,51,51,Update,0.0,6.0,,,,,1,history0
naive,No Repair,52,52,Update,0.0,6.0,,,,,1,history0
naive,No Repair,53,53,BuildSnap,0.0,,53.0,,,,1,history0
naive,No Repair,54,54,BuildSnap,56.90325,,54.0,,,RecentScan,1,history0
naive,No Repair,54,54,RecentScan,20.698291,,54.0,,,,1,history0
naive,No Repair,55,55,Update,0.0,6.0,,,,,1,history0
naive,No Repair,56,56,BuildSnap,57.881,,56.0,,,Probe,1,history0
naive,No Repair,56,56,Probe,16.935709,600.0,56.0,,,,1,history0
naive,No Repair,57,57,BuildSnap,53.184834,,57.0,,,RecentScan,1,history0
naive,No Repair,57,57,RecentScan,19.720834,,57.0,,,,1,history0
naive,No Repair,58,58,BuildSnap,55.958125,,58.0,,,Probe,1,history0
naive,No Repair,58,58,Probe,17.297709,600.0,58.0,,,,1,history0
naive,No Repair,59,59,BuildSnap,55.760583,,59.0,,,RecentScan,1,history0
naive,No Repair,59,59,RecentScan,19.631333,,59.0,,,,1,history0
naive,No Repair,60,60,BuildSnap,56.711792,,60.0,,,RecentScan,1,history0
naive,No Repair,60,60,RecentScan,18.873709,,60.0,,,,1,history0
naive,No Repair,61,61,BuildSnap,56.855375,,61.0,,,Probe,1,history0
naive,No Repair,61,61,Probe,19.656584,600.0,61.0,,,,1,history0
naive,No Repair,62,62,BuildSnap,53.491625,,62.0,,,Probe,1,history0
naive,No Repair,62,62,Probe,17.226,600.0,62.0,,,,1,history0
naive,No Repair,63,63,BuildSnap,57.598708,,63.0,,,Probe,1,history0
naive,No Repair,63,63,Probe,17.92925,600.0,63.0,,,,1,history0
naive,No Repair,64,64,BuildSnap,56.597834,,64.0,,,Probe,1,history0
naive,No Repair,64,64,Probe,18.046791,600.0,64.0,,,,1,history0
naive,No Repair,65,65,GbgCollect,0.354375,,16.0,,,,1,history0
naive,No Repair,66,66,BuildSnap,58.506291,,66.0,,,Probe,1,history0
naive,No Repair,66,66,Probe,17.418,600.0,66.0,,,,1,history0
naive,No Repair,67,67,BuildSnap,54.786167,,67.0,,,RecentScan,1,history0
naive,No Repair,67,67,RecentScan,19.542791,,67.0,,,,1,history0
naive,No Repair,68,68,BuildSnap,58.230833,,68.0,,,Probe,1,history0
naive,No Repair,68,68,Probe,17.304458,600.0,68.0,,,,1,history0
naive,No Repair,69,69,BuildSnap,53.968292,,69.0,,,RecentScan,1,history0
naive,No Repair,69,69,RecentScan,19.882584,,69.0,,,,1,history0
naive,No Repair,70,70,BuildSnap,55.953041,,70.0,,,Probe,1,history0
naive,No Repair,70,70,Probe,18.160833,600.0,70.0,,,,1,history0
naive,No Repair,71,71,BuildSnap,57.019958,,71.0,,,RecentScan,1,history0
naive,No Repair,71,71,RecentScan,20.707417,,71.0,,,,1,history0
naive,No Repair,72,72,BuildSnap,57.895791,,72.0,,,Probe,1,history0
naive,No Repair,72,72,Probe,19.401167,600.0,72.0,,,,1,history0
naive,No Repair,73,73,BuildSnap,58.265458,,73.0,,,Probe,1,history0
naive,No Repair,73,73,Probe,16.959917,600.0,73.0,,,,1,history0
naive,No Repair,74,74,GbgCollect,0.9145420000000001,,30.0,,,,1,history0
naive,No Repair,75,75,BuildSnap,55.966583,,75.0,,,RecentScan,1,history0
naive,No Repair,75,75,RecentScan,18.325875,,75.0,,,,1,history0
naive,No Repair,76,76,BuildSnap,58.728875,,76.0,,,RecentScan,1,history0
naive,No Repair,76,76,RecentScan,21.661167,,76.0,,,,1,history0
naive,No Repair,77,77,BuildSnap,58.505291,,77.0,,,RecentScan,1,history0
naive,No Repair,77,77,RecentScan,21.042583,,77.0,,,,1,history0
naive,No Repair,78,78,BuildSnap,52.615708,,78.0,,,RecentScan,1,history0
naive,No Repair,78,78,RecentScan,19.671208,,78.0,,,,1,history0
naive,No Repair,79,79,BuildSnap,53.891209,,79.0,,,Probe,1,history0
naive,No Repair,79,79,Probe,17.6855,600.0,79.0,,,,1,history0
naive,No Repair,80,80,Update,0.0,6.0,,,,,1,history0
naive,No Repair,81,81,BuildSnap,0.0,,81.0,,,,1,history0
naive,No Repair,82,82,Update,0.0,6.0,,,,,1,history0
naive,No Repair,83,83,BuildSnap,54.886375,,83.0,,,RecentScan,1,history0
naive,No Repair,83,83,RecentScan,21.037041,,83.0,,,,1,history0
naive,No Repair,84,84,BuildSnap,60.17725,,84.0,,,RecentScan,1,history0
naive,No Repair,84,84,RecentScan,19.682791,,84.0,,,,1,history0
naive,No Repair,85,85,BuildSnap,55.705,,85.0,,,Probe,1,history0
naive,No Repair,85,85,Probe,16.5255,600.0,85.0,,,,1,history0
naive,No Repair,86,86,BuildSnap,51.522417,,86.0,,,RecentScan,1,history0
naive,No Repair,86,86,RecentScan,20.619292,,86.0,,,,1,history0
naive,No Repair,87,87,BuildSnap,54.109542,,87.0,,,Probe,1,history0
naive,No Repair,87,87,Probe,17.575917,600.0,87.0,,,,1,history0
naive,No Repair,88,88,BuildSnap,56.4035,,88.0,,,Probe,1,history0
naive,No Repair,88,88,Probe,19.198375,600.0,88.0,,,,1,history0
naive,No Repair,89,89,BuildSnap,51.394625,,89.0,,,RecentScan,1,history0
naive,No Repair,89,89,RecentScan,20.431334,,89.0,,,,1,history0
naive,No Repair,90,90,Update,0.0,6.0,,,,,1,history0
naive,No Repair,91,91,BuildSnap,0.0,,91.0,,,,1,history0
naive,No Repair,92,92,BuildSnap,54.272917,,92.0,,,Probe,1,history0
naive,No Repair,92,92,Probe,17.389,600.0,92.0,,,,1,history0
naive,No Repair,93,93,BuildSnap,54.529375,,93.0,,,RecentScan,1,history0
naive,No Repair,93,93,RecentScan,19.333083,,93.0,,,,1,history0
naive,No Repair,94,94,Update,0.0,6.0,,,,,1,history0
naive,No Repair,95,95,BuildSnap,54.720708,,95.0,,,RecentScan,1,history0
naive,No Repair,95,95,RecentScan,20.156,,95.0,,,,1,history0
naive,No Repair,96,96,BuildSnap,56.335417,,96.0,,,Probe,1,history0
naive,No Repair,96,96,Probe,19.943333,600.0,96.0,,,,1,history0
naive,No Repair,97,97,BuildSnap,52.718166,,97.0,,,Probe,1,history0
naive,No Repair,97,97,Probe,16.916834,600.0,97.0,,,,1,history0
naive,No Repair,98,98,BuildSnap,52.140833,,98.0,,,RecentScan,1,history0
naive,No Repair,98,98,RecentScan,20.255584,,98.0,,,,1,history0
naive,No Repair,99,99,BuildSnap,62.385458,,99.0,,,Probe,1,history0
naive,No Repair,99,99,Probe,17.92375,600.0,99.0,,,,1,history0
naive,No Repair,100,100,BuildSnap,57.11975,,100.0,,,RecentScan,1,history0
naive,No Repair,100,100,RecentScan,23.733583,,100.0,,,,1,history0
naive,No Repair,101,101,BuildSnap,61.795833,,101.0,,,Probe,1,history0
naive,No Repair,101,101,Probe,19.188333,600.0,101.0,,,,1,history0
naive,No Repair,102,102,BuildSnap,59.26725,,102.0,,,RecentScan,1,history0
naive,No Repair,102,102,RecentScan,22.526208,,102.0,,,,1,history0
naive,No Repair,103,103,Update,0.0,6.0,,,,,1,history0
naive,No Repair,104,104,BuildSnap,0.0,,104.0,,,,1,history0
naive,No Repair,105,105,BuildSnap,70.081,,105.0,,,Probe,1,history0
naive,No Repair,105,105,Probe,19.386,600.0,105.0,,,,1,history0
naive,No Repair,106,106,Update,0.0,6.0,,,,,1,history0
naive,No Repair,107,107,BuildSnap,72.76375,,107.0,,,Probe,1,history0
naive,No Repair,107,107,Probe,16.649208,600.0,107.0,,,,1,history0
naive,No Repair,108,108,Update,0.0,6.0,,,,,1,history0
naive,No Repair,109,109,BuildSnap,0.0,,109.0,,,,1,history0
naive,No Repair,110,110,BuildSnap,58.902625,,110.0,,,Probe,1,history0
naive,No Repair,110,110,Probe,18.961833,600.0,110.0,,,,1,history0
naive,No Repair,111,111,BuildSnap,64.412709,,111.0,,,RecentScan,1,history0
naive,No Repair,111,111,RecentScan,20.817875,,111.0,,,,1,history0
naive,No Repair,112,112,BuildSnap,71.453167,,112.0,,,Probe,1,history0
naive,No Repair,112,112,Probe,19.393958,600.0,112.0,,,,1,history0
naive,No Repair,113,113,BuildSnap,68.737875,,113.0,,,RecentScan,1,history0
naive,No Repair,113,113,RecentScan,24.244625,,113.0,,,,1,history0
naive,No Repair,114,114,BuildSnap,68.233958,,114.0,,,RecentScan,1,history0
naive,No Repair,114,114,RecentScan,20.6985,,114.0,,,,1,history0
naive,No Repair,115,115,BuildSnap,74.788791,,115.0,,,Probe,1,history0
naive,No Repair,115,115,Probe,18.510875,600.0,115.0,,,,1,history0
naive,No Repair,116,116,BuildSnap,71.851208,,116.0,,,RecentScan,1,history0
naive,No Repair,116,116,RecentScan,27.978042,,116.0,,,,1,history0
naive,No Repair,0,0,InitLoad,1.084583,60000.0,,,,,3,history0
naive,No Repair,1,1,BuildSnap,0.0,,1.0,,,,3,history0
naive,No Repair,2,2,Update,0.0,6.0,,,,,3,history0
naive,No Repair,3,3,BuildSnap,0.0,,3.0,,,,3,history0
naive,No Repair,4,4,BuildSnap,65.198292,,4.0,,,RecentScan,3,history0
naive,No Repair,4,4,RecentScan,15.297459,,4.0,,,,3,history0
