trial,idx,tx_id,tx_type,read_ts,from_ts,to_ts,build_reason,duration_ms
0,0,0,InitLoad,,,,,22.669333
0,1,1,BuildSnap,1.0,,,,0.001
0,2,2,Update,,,,,0.050915999999999996
0,3,3,BuildSnap,3.0,,,,0.0
0,4,4,RecentScan,4.0,,,,27.990125
0,5,5,Update,,,,,0.048709
0,6,6,RecentScan,6.0,,,,25.14675
0,7,7,Update,,,,,0.047958
0,8,8,BuildSnap,8.0,,,,0.0
0,9,9,BuildSnap,1.0,,,HistoryScan,75.377583
0,9,9,HistoryScan,1.0,,,,25.782458
0,10,10,Update,,,,,0.033415999999999994
0,11,11,RecentScan,11.0,,,,26.018375
0,12,12,RecentScan,12.0,,,,24.425459
0,13,13,Probe,13.0,,,,37.886333
0,14,14,GbgCollect,1.0,,,,0.085875
0,15,15,Update,,,,,0.029417000000000002
0,16,16,BuildSnap,16.0,,,,0.0
0,17,17,Update,,,,,0.016375
0,18,18,Probe,18.0,,,,44.849
0,19,19,RecentScan,19.0,,,,25.715667
0,20,20,RecentScan,20.0,,,,39.016291
0,21,21,RecentScan,21.0,,,,33.624
0,22,22,Probe,22.0,,,,44.800958
0,23,23,Probe,23.0,,,,37.60375
0,24,24,Probe,24.0,,,,40.844416
0,25,25,RecentScan,25.0,,,,25.221042
0,26,26,Probe,26.0,,,,41.957458
0,27,27,GbgCollect,3.0,,,,0.0
0,28,28,RecentScan,28.0,,,,26.676625
0,29,29,Update,,,,,0.06575
0,30,30,BuildSnap,30.0,,,,0.0
0,31,31,Probe,31.0,,,,43.450958
0,32,32,Probe,32.0,,,,40.064708
0,33,33,Update,,,,,0.030333
0,34,34,RecentScan,34.0,,,,24.75375
0,35,35,RecentScan,35.0,,,,24.276208
0,36,36,Update,,,,,0.030458
0,37,37,BuildSnap,37.0,,,,0.0010409999999999998
0,38,38,GbgCollect,8.0,,,,0.0
0,39,39,Probe,39.0,,,,42.622625
0,40,40,Update,,,,,0.026958
0,41,41,RecentScan,41.0,,,,25.863834
0,42,42,Probe,42.0,,,,47.165291
0,43,43,Probe,43.0,,,,47.414375
0,44,44,Update,,,,,0.026875
0,45,45,BuildSnap,45.0,,,,0.0
0,46,46,Probe,46.0,,,,39.3455
0,47,47,RecentScan,47.0,,,,27.606167
0,48,48,RecentScan,48.0,,,,27.102958
0,49,49,Probe,49.0,,,,46.65325
0,50,50,RecentScan,50.0,,,,28.638
0,51,51,Update,,,,,0.0355
0,52,52,Update,,,,,0.035917000000000004
0,53,53,BuildSnap,53.0,,,,0.0
0,54,54,RecentScan,54.0,,,,27.536708
0,55,55,Update,,,,,0.0385
0,56,56,Probe,56.0,,,,38.063708
0,57,57,RecentScan,57.0,,,,23.817292
0,58,58,Probe,58.0,,,,40.360417
0,59,59,RecentScan,59.0,,,,26.476125
0,60,60,RecentScan,60.0,,,,25.052916
0,61,61,Probe,61.0,,,,40.999834
0,62,62,Probe,62.0,,,,37.887791
0,63,63,Probe,63.0,,,,39.343291
0,64,64,Probe,64.0,,,,40.817167
0,65,65,GbgCollect,16.0,,,,0.0
0,66,66,Probe,66.0,,,,41.211833
0,67,67,RecentScan,67.0,,,,24.571
0,68,68,Probe,68.0,,,,40.109583
0,69,69,RecentScan,69.0,,,,24.851375
0,70,70,Probe,70.0,,,,37.019208
0,71,71,RecentScan,71.0,,,,27.284333
0,72,72,Probe,72.0,,,,38.807666
0,73,73,Probe,73.0,,,,42.804959
0,74,74,GbgCollect,30.0,,,,0.0
0,75,75,RecentScan,75.0,,,,25.041791
0,76,76,RecentScan,76.0,,,,26.455208
0,77,77,RecentScan,77.0,,,,26.908542
0,78,78,RecentScan,78.0,,,,27.119916
0,79,79,Probe,79.0,,,,39.0965
0,80,80,Update,,,,,0.037042
0,81,81,BuildSnap,81.0,,,,0.0
0,82,82,Update,,,,,0.029625
0,83,83,RecentScan,83.0,,,,25.91625
0,84,84,RecentScan,84.0,,,,28.054459
0,85,85,Probe,85.0,,,,38.28175
0,86,86,RecentScan,86.0,,,,24.00125
0,87,87,Probe,87.0,,,,38.134792
0,88,88,Probe,88.0,,,,38.50975
0,89,89,RecentScan,89.0,,,,23.690083
0,90,90,Update,,,,,0.024582999999999997
0,91,91,BuildSnap,91.0,,,,0.0
0,92,92,Probe,92.0,,,,38.58525
0,93,93,RecentScan,93.0,,,,25.6295
0,94,94,Update,,,,,0.055625
0,95,95,RecentScan,95.0,,,,25.648667
0,96,96,Probe,96.0,,,,40.0245
0,97,97,Probe,97.0,,,,37.24525
0,98,98,RecentScan,98.0,,,,25.618084
0,99,99,Probe,99.0,,,,40.55575
0,100,100,RecentScan,100.0,,,,23.557958
0,101,101,Probe,101.0,,,,36.142667
0,102,102,RecentScan,102.0,,,,25.846292
0,103,103,Update,,,,,0.056708
0,104,104,BuildSnap,104.0,,,,0.0
0,105,105,Probe,105.0,,,,38.77025
0,106,106,Update,,,,,0.019625
0,107,107,Probe,107.0,,,,39.472917
0,108,108,Update,,,,,0.022334
0,109,109,BuildSnap,109.0,,,,0.0
0,110,110,Probe,110.0,,,,40.6185
0,111,111,RecentScan,111.0,,,,25.575042
0,112,112,Probe,112.0,,,,43.326625
0,113,113,RecentScan,113.0,,,,28.915708
0,114,114,RecentScan,114.0,,,,25.230417
0,115,115,Probe,115.0,,,,37.345208
0,116,116,RecentScan,116.0,,,,24.445625
