table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space
Heap,No Repair,230588416,154570080,150360000,150360000,4210080,76018336
Heap,Read Repair,230588416,154570080,150360000,150360000,4210080,76018336
Heap,Write Repair,230588416,154570080,150360000,150360000,4210080,76018336
