table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space
Chain,No Repair,256950272,171711120,150360000,150360000,21351120,85239152
Chain,Read Repair,256950272,171711120,150360000,150360000,21351120,85239152
Chain,Write Repair,256950272,171711120,150360000,150360000,21351120,85239152
