table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space
Heap,No Repair,240074752,163290960,150360000,150360000,12930960,76783792
Heap,Read Repair,240074752,163290960,150360000,150360000,12930960,76783792
Heap,Write Repair,240074752,163290960,150360000,150360000,12930960,76783792
