table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space
Chain,No Repair,248184832,163290960,150360000,150360000,12930960,84893872
Chain,Read Repair,248184832,163290960,150360000,150360000,12930960,84893872
Chain,Write Repair,248184832,163290960,150360000,150360000,12930960,84893872
