table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space
Par,No Repair,285409280,154570080,150360000,150360000,4210080,130839200
Par,Read Repair,285409280,154570080,150360000,150360000,4210080,130839200
Par,Write Repair,285409280,154570080,150360000,150360000,4210080,130839200
