table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space
Par,No Repair,449888256,171712552,150360000,150360000,21352552,278175704
Par,Read Repair,449888256,171711120,150360000,150360000,21351120,278177136
Par,Write Repair,449888256,171711120,150360000,150360000,21351120,278177136
