table_type,repair_type,total_space,all_versions_space,valid_space,current_space,history_space,metadata_space
Chain,No Repair,239058944,154570080,150360000,150360000,4210080,84488864
Chain,Read Repair,239058944,154570080,150360000,150360000,4210080,84488864
Chain,Write Repair,239058944,154570080,150360000,150360000,4210080,84488864
