txn_delta_ratio,table_type,repair_type,speed_ratio_over_naive
0.0,chain,Write Repair,1.4063547984373157
0.0,heap,No Repair,0.9041401698172625
0.0,heap,Read Repair,1.0297873966443276
0.0,heap,Write Repair,1.2401068030096873
0.0,par,No Repair,0.8421097153718486
0.0,par,Read Repair,0.848309033335658
0.0,par,Write Repair,1.07541135672683
0.05,chain,Write Repair,1.5182456696467401
0.05,heap,No Repair,1.0338032949551195
0.05,heap,Read Repair,1.1252309270743337
0.05,heap,Write Repair,1.3776569088996815
0.05,par,No Repair,1.1340983275033685
0.05,par,Read Repair,1.2270067100399478
0.05,par,Write Repair,1.543213644129851
0.1,chain,Write Repair,1.6000303697488323
0.1,heap,No Repair,1.1479846130697828
0.1,heap,Read Repair,1.2130104987375956
0.1,heap,Write Repair,1.4766169895595758
0.1,par,No Repair,1.432417374328758
0.1,par,Read Repair,1.4268583657504883
0.1,par,Write Repair,2.033095024118255
0.15,chain,Write Repair,1.6961359939286955
0.15,heap,No Repair,1.2579024402475383
0.15,heap,Read Repair,1.3182886207919184
0.15,heap,Write Repair,1.5299926628839418
0.15,par,No Repair,1.7146780498936256
0.15,par,Read Repair,1.7348753558639132
0.15,par,Write Repair,2.1560790948042277
0.2,chain,Write Repair,1.7209291520759822
0.2,heap,No Repair,1.3232070461495893
0.2,heap,Read Repair,1.4601863413858605
0.2,heap,Write Repair,1.6515397308038957
0.2,par,No Repair,1.9588118462426227
0.2,par,Read Repair,2.1600260269552156
0.2,par,Write Repair,2.7979490862214917
0.25,chain,Write Repair,1.7510792912937327
0.25,heap,No Repair,1.4387075806407015
0.25,heap,Read Repair,1.478672122216556
0.25,heap,Write Repair,1.6953798105322235
0.25,par,No Repair,2.364720893521931
0.25,par,Read Repair,2.3252445409774842
0.25,par,Write Repair,3.196270960746307
