scan_reuse_ratio,table_type,repair_type,speed_ratio_over_naive,base,avg_dur
0.0,chain,Write Repair,2.1681872318460242,56748.302445999994,26173.155903
0.0,heap,No Repair,1.4409093471964203,56748.302445999994,39383.672926
0.0,heap,Read Repair,1.6235500767202269,56748.302445999994,34953.219651
0.0,heap,Write Repair,2.180890896475754,56748.302445999994,26020.697568000003
0.0,par,No Repair,1.4244090734031418,56748.302445999994,39839.891156000005
0.0,par,Read Repair,1.6418491166737952,56748.302445999994,34563.652573
0.0,par,Write Repair,2.2529345575814888,56748.302445999994,25188.615556999997
0.20,par,Write Repair,2.1684165087673644,55032.728129999996,25379.223921
0.20,par,Read Repair,1.6310253886380819,55032.728129999996,33741.184235
0.20,par,No Repair,1.399694242186297,55032.728129999996,39317.678441
0.20,heap,No Repair,1.4504761619035165,55032.728129999996,37941.146208
0.20,heap,Read Repair,1.6450093198471945,55032.728129999996,33454.356438
0.20,chain,Write Repair,2.11719249684404,55032.728129999996,25993.256736
0.20,heap,Write Repair,2.1099724662572834,55032.728129999996,26082.202024000002
0.40,par,No Repair,1.0877931512545036,43185.107006,39699.741588000004
0.40,par,Read Repair,1.278105822628183,43185.107006,33788.365753000005
0.40,heap,Write Repair,1.6949494571877075,43185.107006,25478.69898
0.40,par,Write Repair,1.7209308432321968,43185.107006,25094.039760999996
0.40,heap,No Repair,1.142428799734311,43185.107006,37801.136505
0.40,chain,Write Repair,1.6430725231422247,43185.107006,26283.141126000002
0.40,heap,Read Repair,1.2847974948936582,43185.107006,33612.384191
0.60,chain,Write Repair,1.4106503456432846,36784.266812,26076.105199
0.60,heap,No Repair,0.9609642261030279,36784.266812,38278.497589
0.60,heap,Read Repair,1.1688538563308846,36784.266812,31470.372975
0.60,heap,Write Repair,1.4482212753772643,36784.266812,25399.61775
0.60,par,No Repair,0.9398820098160415,36784.266812,39137.111284000006
0.60,par,Read Repair,1.1353633413079025,36784.266812,32398.674039999998
0.60,par,Write Repair,1.479600146767402,36784.266812,24860.951043000005
0.80,par,Write Repair,1.2842975426985235,32161.365958,25041.989794999998
0.80,par,Read Repair,1.0469910716062876,32161.365958,30717.898968
0.80,par,No Repair,0.8242042132527098,32161.365958,39021.113264
0.80,heap,No Repair,0.8498920320518009,32161.365958,37841.707823
0.80,heap,Read Repair,1.0646069286770337,32161.365958,30209.615484999995
0.80,chain,Write Repair,1.2648743050736158,32161.365958,25426.531181000002
0.80,heap,Write Repair,1.3036318673313545,32161.365958,24670.588963000002
0.99,par,Read Repair,0.9799511302759707,29233.883124,29831.980617
0.99,chain,Write Repair,1.1330638053238637,29233.883124,25800.738658000002
0.99,heap,No Repair,0.7862017311727348,29233.883124,37183.69213
0.99,heap,Read Repair,1.1071180616754066,29233.883124,26405.389033000003
0.99,heap,Write Repair,1.081380115341411,29233.883124,27033.864142000002
0.99,par,No Repair,0.7667408160429422,29233.883124,38127.464343
0.99,par,Write Repair,1.0269686993110327,29233.883124,28466.187084
