update_ratio,table_type,repair_type,speed_ratio_over_naive
0.01030927835051546,chain,Write Repair,1.6016598220830653
0.01030927835051546,heap,No Repair,0.9965205634125259
0.01030927835051546,heap,Read Repair,1.4196190899109482
0.01030927835051546,heap,Write Repair,1.4780180173658315
0.01030927835051546,par,No Repair,1.021491255353297
0.01030927835051546,par,Read Repair,1.279965524408334
0.01030927835051546,par,Write Repair,1.335419810997734
0.0515463917525773,chain,Write Repair,1.7772061738669236
0.0515463917525773,heap,No Repair,1.0229132442093911
0.0515463917525773,heap,Read Repair,1.4361122436282583
0.0515463917525773,heap,Write Repair,1.4835637339264744
0.0515463917525773,par,No Repair,1.029164893324538
0.0515463917525773,par,Read Repair,1.46287303988427
0.0515463917525773,par,Write Repair,1.652604820362959
0.1030927835051546,chain,Write Repair,1.473985053290022
0.1030927835051546,heap,No Repair,0.9898314253323011
0.1030927835051546,heap,Read Repair,1.3851800711006077
0.1030927835051546,heap,Write Repair,1.5863427177345568
0.1030927835051546,par,No Repair,0.9988698028384005
0.1030927835051546,par,Read Repair,1.3435906386950092
0.1030927835051546,par,Write Repair,1.3608167530075377
0.15463917525773188,chain,Write Repair,1.5620527366507193
0.15463917525773188,heap,No Repair,0.9777778015099711
0.15463917525773188,heap,Read Repair,1.3230650048256631
0.15463917525773188,heap,Write Repair,1.4954936743707876
0.15463917525773188,par,No Repair,0.9440483446435831
0.15463917525773188,par,Read Repair,1.1854651247734174
0.15463917525773188,par,Write Repair,1.364295867638195
0.2061855670103092,chain,Write Repair,1.4042737822521638
0.2061855670103092,heap,No Repair,0.9456537175154274
0.2061855670103092,heap,Read Repair,1.3020267022106968
0.2061855670103092,heap,Write Repair,1.4982890746782467
0.2061855670103092,par,No Repair,0.9417051872560223
0.2061855670103092,par,Read Repair,1.2854376732691042
0.2061855670103092,par,Write Repair,1.4085822447637502
