table_type,repair_type,total_space,all_versions_space,valid_space,all_versions_ratio,valid_ratio
SNAP,No Repair,17883987968,16539600000,751800000,0.9248272829077314,0.042037603768533244
MONO,No Repair,862191616,778864800,751800000,0.9033546436155556,0.8719639417138568
EPOCH,No Repair,1565786112,778864800,751800000,0.4974273267790997,0.4801422073157333
DUAL,No Repair,879230976,778864800,751800000,0.8858477706772697,0.8550654157116503
