update_ratio,table_type,repair_type,speed_ratio_over_naive
0.009701492537313436,chain,Write Repair,1.4703430444477792
0.009701492537313436,heap,No Repair,1.0574397132859077
0.009701492537313436,heap,Read Repair,1.1988626247235412
0.009701492537313436,heap,Write Repair,1.5818171988725322
0.009701492537313436,par,No Repair,1.020598307184842
0.009701492537313436,par,Read Repair,1.1236325612337235
0.009701492537313436,par,Write Repair,1.614894541436622
0.04850746268656718,chain,Write Repair,1.6011794707067968
0.04850746268656718,heap,No Repair,1.0153301162287272
0.04850746268656718,heap,Read Repair,1.1702740429393252
0.04850746268656718,heap,Write Repair,1.5145460773413857
0.04850746268656718,par,No Repair,0.9855184289602704
0.04850746268656718,par,Read Repair,1.1073596241815096
0.04850746268656718,par,Write Repair,1.552152369070233
0.09701492537313436,chain,Write Repair,1.5768953575302491
0.09701492537313436,heap,No Repair,1.013134674794475
0.09701492537313436,heap,Read Repair,1.1660508339292381
0.09701492537313436,heap,Write Repair,1.4951503325479583
0.09701492537313436,par,No Repair,0.9691078244940944
0.09701492537313436,par,Read Repair,1.1463970349293788
0.09701492537313436,par,Write Repair,1.5198118663510902
0.14552238805970152,chain,Write Repair,1.5464527523575213
0.14552238805970152,heap,No Repair,0.9476084763505405
0.14552238805970152,heap,Read Repair,1.133910156679769
0.14552238805970152,heap,Write Repair,1.4978703196084429
0.14552238805970152,par,No Repair,0.9482280626063028
0.14552238805970152,par,Read Repair,1.1368866014621437
0.14552238805970152,par,Write Repair,1.4713408877423189
0.19402985074626872,chain,Write Repair,1.5442849916043582
0.19402985074626872,heap,No Repair,0.9690893690353316
0.19402985074626872,heap,Read Repair,1.1270893299795737
0.19402985074626872,heap,Write Repair,1.5064979327239352
0.19402985074626872,par,No Repair,0.919650819700106
0.19402985074626872,par,Read Repair,1.1132651764674018
0.19402985074626872,par,Write Repair,1.4562554835388188
